ID UV_flux_maggies Muv
1020127 1.5588339186119443e-11 -19.023220114237866
1087148 3.06567661840456e-11 -19.944219935134917
1008970 3.9287760805045085e-11 -20.237894928823422
1002238 1.1163067724219957e-11 -19.029136251961347
1083165 6.833639389721616e-11 -20.723768900955967
1004233 1.5341887637688125e-11 -19.098018249882976
1080763 3.6986239492559637e-11 -20.14499206806081
1091324 1.1296566954633147e-11 -18.657460322095453
1092433 3.539564383656375e-11 -19.924741336027616
1088590 1.6190985485965134e-11 -19.475233639296782
1104884 3.7714082279906865e-13 -14.951864967461262
1077138 2.904836691308296e-11 -19.90195842368616
1031265 5.545919078980376e-11 -20.377381748373047
1014659 2.451330574188555e-11 -19.785711186395247
1089523 1.308660173919482e-11 -18.809639000532947
1090503 9.682154559351214e-12 -18.779225436784145
1089286 2.982350728304376e-11 -20.001771474038854
1102893 4.75729605384271e-12 -17.707145451676816
1010567 1.8731896890052965e-11 -19.60749828265665
1084873 5.409991561760341e-11 -20.67492243094962
1000989 2.5914911054133538e-11 -19.593332524188135
1008161 3.570450899710885e-11 -20.117715360018423
1057185 1.2789595597906861e-11 -19.094534636968135
1091153 1.6122591242687554e-10 -21.619868297929692
1028592 1.0901510520900156e-11 -19.00330993657331
1089292 3.3761003795727275e-11 -19.95560469353329
1015956 5.753451430474864e-11 -20.483225536377418
1082948 3.3909804244552743e-10 -22.358890009618513
1050300 3.5644040500068574e-11 -20.007707316340237
1010567 1.8998941475276132e-11 -19.622867398661654
1084773 1.089166899829997e-11 -18.830167739098016
1006892 1.014962999653615e-11 -18.758989898760404
1082668 1.5228145394435634e-11 -19.20137263649105
1004233 1.344043911168258e-11 -18.954354900030985
1094903 1.3057335526102067e-10 -21.30656667113049
1087728 1.4923175058049667e-11 -19.170416282141368
1025913 5.3108590975545373e-11 -20.32088006784617
1089583 4.7751530885496886e-11 -20.24296487543075
1090742 3.282837249185232e-11 -20.105972892402917
1030164 2.361548444347666e-11 -19.743427840555547
1090206 4.161321626948304e-11 -20.128151829304564
1065488 1.8681976419026858e-11 -19.315015432385273
1080381 1.7141981622425686e-11 -19.398360672139525
1073849 2.4418815735275104e-11 -19.805151509610162
1084575 1.361102883533273e-11 -19.22794127485828
1090231 1.5602316222456612e-11 -19.064384623801182
1019532 1.2021723914480306e-11 -19.118381473552397
1028662 2.7078191038339545e-11 -19.815794196149156
1029051 3.557717094354599e-11 -20.220293555859335
1000372 2.328112304245183e-11 -19.65686214952227
1085867 3.5619064039329897e-11 -20.296583808585538
1090054 6.828078326316715e-11 -20.971068336428864
1087736 5.5205940350335015e-11 -20.590746741692705
1088590 1.427235499588933e-11 -19.338289529019725
1085494 6.733108687372713e-11 -20.667353910822463
1092337 7.046519735830065e-11 -20.83622309034319
1003845 5.909172148949995e-12 -17.99413374330816
1013948 2.664886424093966e-11 -19.655732952740607
1079264 2.8311004168651336e-11 -19.7255256054722
1029814 2.5980785484806804e-11 -19.67682919905826
1000799 7.53007148170638e-11 -20.784895307339006
1095051 1.4014538647625897e-10 -21.47108976239994
1091896 3.882817430485738e-11 -19.98490840825628
1022983 1.4210376428983158e-11 -19.279885503523396
1091059 1.1318828179885861e-12 -16.55588743693194
1027279 2.465674237979596e-11 -19.616908756411185
1028072 2.8822967749816814e-11 -19.88530766957922
1004726 4.66667425720406e-11 -20.413198079115702
1090891 1.5812630965417817e-10 -21.53776871259071
1120765 3.126892673818869e-11 -19.85872545956647
1091236 3.39659689399839e-11 -19.97334997031691
1010591 4.393111341022555e-11 -20.449334368088138
1000485 2.0321274180269267e-11 -19.3781730644995
1027899 6.995577046011174e-11 -20.845149999751172
1087476 2.825831930683895e-11 -19.69756807838089
1000110 8.176770283745622e-11 -20.881449049950795
1028203 1.2785172605998958e-11 -18.900626722578743
1012763 1.361950169251492e-11 -19.092765620291374
1026447 2.7436427345373794e-11 -19.836403510806512
1085005 6.687525338359612e-11 -20.700188306490908
1024880 5.936747028511189e-11 -20.49798090412711
1029549 5.47004513750272e-11 -20.402921887687306
1002847 5.896010465109483e-11 -20.490308081005374
1080133 1.3390914756668317e-10 -21.55768602546351
1003871 2.742688039631217e-11 -19.60626490392277
1082466 3.2962289362050593e-11 -20.03400119914096
1088814 2.532062454004787e-10 -22.2455440185469
1089124 2.2851366982981717e-11 -19.44082310246312
1091580 2.3865494884861982e-11 -19.822414346811698
1093076 2.815482047597702e-11 -20.041252764329307
1081725 3.281505172942413e-11 -20.141162740174487
1082074 3.7700143539495585e-11 -20.290893797673
1009935 5.412773136717412e-11 -20.741715495874303
1085659 3.556072418454581e-11 -19.97432091795112
1086984 7.661405458896084e-11 -20.72196822576945
1028351 2.0818700311325726e-11 -19.533349163448705
1002452 1.5670734382322488e-11 -19.12137947252633
1005572 1.660387143396463e-11 -19.42029879345582
1007712 3.651580552799951e-11 -20.15322666160658
1098616 8.691858411972974e-12 -18.74915479845196
1025811 1.0130344696788498e-10 -21.021975245229783
1089274 1.3732381118191208e-11 -18.904269737465953
1092984 3.836357167080438e-11 -20.168981108984283
1091614 4.6675615160324446e-11 -20.270293695134917
1086992 1.0408044160791657e-10 -21.133794105688573
1085672 4.758487995712888e-11 -20.293566697586442
1081686 5.373318119474337e-11 -20.463233833565923
1004072 6.699243550308226e-12 -18.107907325647027
1033320 1.075881092788257e-11 -18.84376812634799
1011634 1.5033616931340202e-11 -19.304396043236828
1090280 1.754538660960569e-11 -19.35045368881135
1077261 4.005069556016265e-11 -20.04540671928641
1091258 1.5968758713028904e-11 -19.300549451018348
1000444 2.5161476721585132e-11 -19.57273272966153
1093668 1.995230644570713e-12 -16.98885706916306
1056042 3.138780533854869e-11 -19.985852332200395
1088834 6.653575641011863e-12 -18.360964515764728
1003298 2.904944812298549e-11 -19.721105775752434
1031628 1.706264988960845e-11 -19.173009559120764
1085615 6.417774740865031e-11 -20.810591486405436
1095186 4.788267283346475e-11 -20.281222775180858
1077545 4.583209751337038e-11 -20.396325926758117
1008197 2.950644041815151e-11 -19.910825222610526
1008733 1.426016128282968e-11 -19.12135186911849
1082876 3.0653205469679796e-11 -19.72561757292656
1008469 7.907859805277923e-12 -18.481579737375903
1020157 8.664842636257917e-11 -20.855767622033056
1004829 4.565364694464921e-11 -20.155979861582736
1090272 3.801210280110758e-11 -20.17529016849737
1016553 2.2854704705298776e-11 -19.625289583642676
1094430 3.592963343550665e-11 -19.969446894058137
1094078 5.460254442680472e-11 -20.447145794052915
1058774 3.818993913035857e-11 -20.240903294280898
1086354 1.514584622368575e-11 -19.382545679727677
1090105 4.21001293579415e-11 -20.06784382669681
1028569 1.3135488473743422e-10 -21.70514681185881
1013488 7.771734776281926e-11 -20.71383481861806
1025101 2.856178573694779e-11 -20.05730262237976
1090526 8.89550545662614e-11 -20.927524481845886
1076935 1.6633278007459997e-11 -19.296455067798362
1063939 2.3994207672000804e-11 -19.67405750764282
1086406 4.713164157345381e-11 -20.420450957479034
1094616 5.6793594307334264e-11 -20.484400788145138
1000444 2.4306854180930987e-11 -19.53521430329672
1029164 2.1956487173650442e-11 -19.590316673821405
1016733 1.9743556616441613e-11 -19.66329649156811
1014130 1.3169238484902099e-11 -19.026782794760756
1081686 5.411291590907194e-11 -20.47087979280782
1089675 2.2799598056534733e-13 -14.744941997815623
