ID UV_flux_maggies Muv
1002030 6.523984584768676e-11 -21.040643165167772
1018651 1.8498208123695888e-11 -19.699233180275833
226650 2.0933963231142984e-11 -19.99359683303208
1053780 2.1463627066976087e-11 -19.84737944951359
1010567 1.9288691161506442e-11 -19.63930078504667
1025527 2.975450390469374e-11 -20.22400881436227
1001511 2.7175354123048015e-11 -20.089298729416605
1080255 2.7248413968044767e-11 -20.093188741508015
1046918 5.267239252755377e-12 -18.321892412252346
1080875 3.86377374081582e-11 -20.473383162458745
214966 2.937165231605684e-11 -20.283787567885277
118594 1.6224710469484033e-11 -19.483558389981653
201254 3.514920970312006e-11 -20.430181783288354
1014693 2.295858656523279e-11 -19.89589127589945
1027712 2.767395765751425e-11 -20.109428949280655
1035508 4.9306979493251596e-11 -20.73947835383101
189771 7.705509778042131e-12 -18.784832664709207
1001674 5.4745060184433304e-11 -20.84926677500414
1028904 5.0495944200055704e-11 -20.818763377101163
1028887 6.40706220603298e-11 -21.023160895494478
127005 2.6240893079673584e-11 -20.272019830514857
191250 1.1402537701558171e-10 -21.710663551441407
192600 2.8881096894249878e-11 -20.220504946960055
192219 2.865611766393608e-11 -20.211052905515132
81034 1.5143003252609124e-11 -19.519470749293916
1002222 2.3576449849300856e-11 -19.971136042828128
85427 4.786878022050078e-11 -20.76862111767037
143952 2.4507166098833617e-11 -19.91694024891543
1001054 4.916053494407856e-11 -20.964916186591523
201125 9.504459188663358e-11 -21.637632896900726
