ID z_spec fUV_flux
192600 5.3923 1.0358894742450684e-31
1080875 5.1855 2.004360494221865e-31
143952 4.9951 9.53246154969309e-32
85427 5.39 1.7127343783816974e-31
1018651 5.2671 7.620927578820216e-32
1035508 5.1877 2.290617075217161e-31
118594 5.0391 1.0592816263662265e-31
1028887 5.1876 2.576600599262775e-31
81034 5.3932 7.364551630093784e-32
1027712 5.1818 3.0684967715144377e-31
1002030 5.1798 2.533906384291623e-31
191250 5.3861 3.5290934708921614e-31
1001054 5.9794 1.4894639699769896e-31
1002222 5.2941 1.2496686537264587e-31
214966 5.5417 1.3277241112103564e-31
1014693 5.145 9.513719893856867e-32
1025527 5.295 1.2467971214816506e-31
1001511 5.1787 1.5449635357292094e-31
226650 5.8147 8.706264094457876e-32
201254 5.3775 9.070531317348416e-32
189771 5.389 0.0
1053780 5.2231 1.2588187937275419e-31
1046918 5.2253 2.780880448923758e-32
1080255 5.1835 1.151740648524596e-31
192219 5.3915 1.560161932213022e-31
127005 5.9402 1.0612759660362262e-31
1001674 5.1778 2.6630065199229162e-31
1028904 5.3623 1.6176125490293638e-31
201125 5.8196 3.656489284119829e-31
1026447 4.41607 1.5191605331174606e-31
1090272 4.37644 1.595387730266446e-31
1000372 4.41282 1.3031990580475576e-31
1004726 4.41632 2.3363399303607726e-31
1008970 4.44698 1.7587304131088232e-31
1084873 4.69321 0.0
1094616 4.0595 0.0
1031265 3.87071 3.248436832194434e-31
1000989 3.96706 1.544293031683427e-31
1094078 4.07258 3.0932619912981583e-31
1090280 4.41465 0.0
1088814 4.40625 0.0
1092433 3.9506 0.0
1081686 4.15394 3.2742545549807842e-31
1012763 4.4606 1.1967255189066375e-31
1080133 4.41627 6.441034110117705e-31
1090503 4.61567 0.0
1088590 5.01768 0.0
1087148 4.38276 0.0
1063939 4.37202 1.41525716046899e-31
1090105 3.84748 0.0
1087728 4.40337 0.0
1080763 4.37489 1.8398769036180357e-31
1085672 4.06247 0.0
1082466 4.41178 1.618250758807421e-31
1003845 3.98072 5.471033678070474e-32
1028203 4.1447 1.3365191734420809e-31
1085867 4.91277 0.0
1102893 3.86235 0.0
1082074 4.71624 1.7555846965990247e-31
1015956 4.02324 2.7612938141645536e-31
1084575 4.84117 0.0
1085659 4.0553 0.0
1019532 4.91602 8.968612049688403e-32
1022983 4.85635 0.0
1082876 3.85263 1.5776524279560481e-31
1083165 4.15274 2.5529013118354015e-31
1065488 4.15107 1.2456010523430244e-31
1000444 3.99377 3.3869106120038125e-31
1025101 4.91415 1.8068295315548546e-31
1090526 3.95577 0.0
1077545 4.42351 2.271512492127891e-31
1091258 4.55522 8.238972168578415e-32
1004072 3.92862 8.878002609111735e-32
1081725 4.71893 9.166540505780062e-32
1002452 4.1442 1.0396617180614179e-31
1089583 3.93473 0.0
1028592 4.88957 1.1002070930543764e-31
1008161 4.40375 2.2970723074699e-31
1077261 3.91952 2.3961106904884235e-31
1091324 3.88804 0.0
1094430 4.01712 0.0
1095186 4.01703 3.5000253369904162e-31
1010591 4.69455 1.9189261810268293e-31
1089523 3.87099 0.0
1013948 4.04253 1.7804530284409051e-31
1091580 4.79668 0.0
1089124 3.93023 0.0
1086992 4.03976 0.0
1104884 3.85528 0.0
1028569 4.8879 4.5705013650342e-31
1090054 4.81805 3.475221659660139e-31
1014130 4.3827 7.774768597337743e-32
1006892 4.42209 5.30314708927141e-32
1030164 4.60496 1.266463963850653e-31
1007712 4.4331 1.6021504042276215e-31
1073849 4.67599 1.0676894682946184e-31
1082948 3.90623 1.5822703647360154e-30
1000110 4.06271 5.029601275931139e-31
1093668 4.41156 0.0
1011634 4.74972 8.244035164017376e-32
1092984 4.33412 0.0
1020127 3.92489 1.13931022059145e-31
1091153 4.06579 0.0
1086984 3.85661 0.0
1098616 4.86521 0.0
1076935 4.42512 6.827357223173315e-32
1002847 3.97744 3.5308441208577416e-31
1029051 4.69444 2.0302236740454813e-31
1094903 3.86954 0.0
1029549 3.96354 3.844686775884505e-31
1028662 4.39938 1.505411579784491e-31
1085615 4.55456 0.0
1058774 4.53791 2.0325101368499454e-31
1089286 4.61867 0.0
1079264 4.0523 3.0436067590016394e-31
1003871 3.85577 1.6294339221327764e-31
1077138 4.4255 1.5856481059907473e-31
1056042 4.42496 2.0201449084122595e-31
1091614 4.05691 3.00647244921378e-31
1008469 4.40513 4.861117165305564e-32
1016553 4.38262 1.538049234328195e-31
1004233 4.14338 1.0942083038743668e-31
1086406 4.40707 0.0
1005572 4.77288 4.411969333037255e-32
1016733 4.93481 9.536469312674173e-32
1027279 4.15257 1.2123391386755412e-31
1089675 4.71649 0.0
1014659 4.60987 1.2502467776188723e-31
1013488 3.80379 5.065145186754755e-31
1082668 4.42709 8.515481096639995e-32
1089274 3.9681 0.0
1025913 3.84935 5.9006444478750175e-31
1057185 4.65223 7.35528871461056e-32
1091059 4.92476 0.0
1091896 3.85851 0.0
1095051 4.07385 0.0
1028072 4.40389 3.15888273976041e-31
1085005 4.15246 0.0
1080381 4.61265 1.206588987419418e-31
1004829 3.84783 2.937697413294626e-31
1027899 4.39635 4.508953977536784e-31
1090742 4.6186 0.0
1120765 4.1132 1.2212593535464769e-31
1091236 4.17392 2.1632127546647417e-31
1050300 4.12974 2.1430147550802963e-31
1089292 4.14643 0.0
1009935 4.88533 2.5890415287739325e-31
1085494 4.05511 0.0
1084773 4.40776 0.0
1029164 4.40507 1.2533196849349192e-31
1003298 3.97592 1.7203963919880172e-31
1087736 4.40342 0.0
1000485 4.08263 1.4574829259096968e-31
1024880 3.9779 2.6570403139357537e-31
1093076 4.91275 0.0
1025811 3.84923 6.827595604061625e-31
1087476 3.99098 1.6668058386729314e-31
1028351 4.40719 1.4785490014825918e-31
1002238 4.88982 8.940152315010576e-32
1020157 3.85699 4.555510237290194e-31
1008733 4.4041 1.636626637030031e-31
1090206 4.01537 2.328770968897719e-31
1033320 4.47932 1.4088120383222804e-31
1090891 3.92268 9.248137967732496e-31
1031628 4.04576 1.4273981263857647e-31
1010567 4.93875 1.398301319338026e-31
1008197 4.40408 1.5691911934650521e-31
1000799 4.04577 3.7102199038782973e-31
1092337 4.3525 0.0
1029814 4.16026 2.16360094178672e-31
1088834 4.58531 0.0
1090231 4.01853 7.186270796677693e-32
1086354 4.95613 0.0
