Complexity,Loss,Equation
1,0.7845613,"-2.42905"
2,0.780007,"cbrt(x7)"
3,0.6155809,"x5 + 1.2189244"
5,0.5744052,"(x11 + 1.2257981) + x5"
7,0.5348117,"x8 - cbrt(exp(x3 - -1.4713875))"
8,0.52811223,"(x10 + -1.7023569) - exp(x3 - 1.5362242)"
9,0.5095549,"((x13 + -1.4772019) + x10) - sqrt(exp(x3))"
10,0.49981603,"(x10 + (cbrt(x12) - cbrt(exp(x3)))) - -0.26931432"
11,0.4972433,"(((x10 - sqrt(exp(x3))) / 1.2049913) + -1.7788057) + x13"
12,0.47093207,"((x10 - cbrt(exp(x3))) - -0.27328873) + cbrt(x12 - x1)"
14,0.46923625,"((x10 - cbrt(exp(x3 - -0.3591903))) + cbrt(x12 - x1)) - -0.4716495"
16,0.465607,"(x10 - (cbrt(exp(x3)) - 0.04778564)) + ((x13 / 3.1279507) + cbrt(x12 - x1))"
17,0.4499947,"((x10 - cbrt(exp(x3))) + ((((x12 + 3.5484629) * x13) - x1) * 0.4217747)) - 1.4740299"
18,0.44928625,"(cbrt(((x13 * 1.8899065) + (x12 - x1)) * 0.08249271) + (x10 - cbrt(exp(x3)))) - 0.74994916"
