Complexity,Loss,Equation
1,0.7845613,"-2.42905"
5,0.5975974,"(x2 * 0.43238944) - 2.4290512"
7,0.5321781,"((x1 + x6) * -0.37069613) - 2.429048"
9,0.49969772,"(((x6 + x1) + x3) * -0.27949706) + -2.429048"
11,0.47916916,"(((x3 + x1) * -0.22552986) + (x6 * -0.40202036)) - 2.4290485"
13,0.468533,"-2.3908327 - (((x1 + x6) + x3) * ((x3 * 0.027200373) + 0.3412091))"
15,0.45736712,"(((x3 + x6) + x1) * (((x3 + x0) * -0.022675002) + -0.35957113)) - 2.3737369"
17,0.45507208,"((-0.5587543 - (x3 * 0.053779963)) * (((x1 + x2) * 0.46261147) + (x3 + x6))) - 2.3671155"
19,0.44874722,"((x6 + (((x1 + x2) * 0.50296146) + x3)) * (-0.5612788 - ((x3 - x6) * 0.055534437))) - 2.4047992"
21,0.44822016,"((((x3 + x0) * -0.026857847) + -0.30225337) * (((x6 * 2.155947) + ((x2 + 3.9309282) + x1)) + x3)) + -1.1868193"
23,0.44197565,"((((x0 - (x6 - x3)) * -0.028009413) + -0.3152237) * ((((x6 * 2.3519742) + (x1 + x3)) + x2) + 3.7111835)) + -1.2470273"
25,0.43964908,"((((x0 - ((x6 * x6) - x3)) * -0.022251343) + -0.3225909) * (((x1 + x3) + (x6 * 2.302504)) + (x2 + 3.7127144))) + -1.2484123"
27,0.43792158,"((((x0 - (((x6 - x0) * x6) - x3)) * -0.01971052) + -0.3155533) * (x2 + (((x6 * 2.2771635) + (x3 + 3.8384275)) + x1))) + -1.240068"
29,0.43468216,"((((x0 - ((x6 * (x6 - x0)) - (x3 * 1.8932735))) * -0.016455758) + -0.32477766) * ((x1 + x3) + ((x2 + (x6 * 2.1569355)) + 3.962974))) + -1.144771"
