Complexity,Loss,Equation
1,0.7845613,"-2.4290333"
5,0.59759814,"-2.428813 - (x2 * -0.4316407)"
7,0.5321787,"-2.428813 + ((x6 + x1) * -0.3712143)"
9,0.4997176,"-2.4247792 - ((x6 + (x3 + x1)) * 0.27882653)"
11,0.47917724,"(-2.4272773 - ((x1 + x3) * 0.2255102)) + (x6 * -0.4042376)"
13,0.47882658,"-2.4371371 - (((x6 + ((x1 * 1.1771677) + x6)) + x3) * 0.20725262)"
15,0.46582073,"(x6 * -0.40933043) - (2.3718548 - (((x3 * -0.018011631) - 0.2957746) * (x1 + x3)))"
17,0.45797828,"(x6 * -0.41447732) + (-2.449038 - (((x6 * (x2 + x6)) - (x3 + x1)) * -0.23561549))"
19,0.45448938,"((((x6 - x0) * (x6 + x2)) - (x3 + x1)) * 0.22853853) - ((x6 * 0.42489314) + 2.522138)"
21,0.4506701,"((x6 * -0.4203527) - (((((x6 + x2) + x6) * (x2 + x6)) - (x1 + x3)) * -0.23551264)) + -2.509396"
23,0.43968183,"-2.4450507 - ((x6 + (((((x2 + x6) * x6) - ((x3 * 0.09273379) * x3)) - (x3 + x1)) * -0.7383517)) * 0.42114198)"
25,0.43897054,"-2.4450507 - ((x6 + (((((x2 + x6) * x6) - ((x3 * 0.09273379) * (x3 + 0.9142771))) - (x3 + x1)) * -0.7383517)) * 0.42114198)"
27,0.43390793,"-2.5112844 - ((x6 * 0.41691053) + (((((x6 + x2) * (x6 + (x2 + x6))) - ((x3 * x3) * 0.08338524)) - (x1 + x3)) * -0.30195734))"
29,0.43156707,"-2.5055249 - ((x6 * 0.38980043) + (((((x6 + x2) * ((x6 + (x2 + -0.37818098)) + x6)) - ((x3 * x3) * 0.09442965)) - (x1 + x3)) * -0.3165414))"
