Complexity,Loss,Equation
1,0.78731686,"-2.4292774"
3,0.7293024,"x2 + -9.287542"
5,0.60200995,"(x2 * 0.54706746) + -6.181351"
7,0.54212666,"((x6 + x3) * -0.20901261) + -5.3236494"
9,0.4972224,"((x1 + (x6 + x3)) * -0.22030209) + -5.503456"
11,0.4830808,"((((x1 + x6) + x1) + x3) * -0.20933285) + -5.3710647"
13,0.48306128,"(((x1 + (x1 + x6)) + (x3 * 0.98890054)) * -0.20933285) + -5.3710647"
15,0.4612388,"((x6 * -0.18054253) + ((x1 + x3) * ((-9.071734 - x3) * 0.04067536))) + -4.6773453"
17,0.46113747,"((x6 * -0.18054253) + (((x1 * 1.0216581) + x3) * ((-9.071734 - x3) * 0.04067536))) + -4.6773453"
19,0.4551681,"((x2 * -0.2389332) + ((x6 + ((-8.732567 - x3) * ((x1 + x3) * -0.18138732))) * -0.2660451)) + -4.2521977"
21,0.45511842,"(x2 * -1.2433747) + ((((x6 * -0.26535228) + (((x3 + x1) * (-8.670906 - x3)) * 0.048431903)) + -4.208156) + x2)"
25,0.45506537,"((((x3 + -0.1338656) + x1) * (-8.670906 - x3)) * 0.048431903) + (((x2 + -4.208156) - 0.06532927) + ((x2 * -1.2433747) + (x6 * -0.26535228)))"
27,0.45036635,"(((x6 + (x1 * (x1 * 0.16774417))) * -0.27827975) + (((x1 * -0.5657265) + (x2 * -0.27416703)) + -4.2143683)) + (((-7.780849 - x3) * x3) * 0.0503585)"
29,0.4498122,"(((x1 * -0.5657265) + ((x3 * 0.0503585) * (-7.780849 - x3))) + ((-0.27827975 * (x6 + (x1 * ((x0 + x3) * 0.13555768)))) + -4.2143683)) + (x2 * -0.27416703)"
