Complexity,Loss,Equation
1,0.34853756,"-2.0413456"
3,0.29881305,"30.637642 / x6"
5,0.2663823,"9.579431 / (x3 + -5.767457)"
7,0.24412216,"28.79421 / ((x6 + x1) + x3)"
9,0.22775169,"(((x7 * 1.7639736) - x6) * x6) * -0.01791189"
10,0.22733891,"(x6 * 0.018153671) * abs(x6 - (x7 * 1.756172))"
11,0.21361814,"(x6 - x3) * ((x6 + (x7 * -1.811865)) * 0.015463884)"
12,0.21359271,"(x6 - x3) * (abs((x7 * -1.8076942) + x6) * 0.015560711)"
13,0.2042697,"(((x6 - x3) - x1) * (x6 - (x7 * 1.7972295))) * 0.015963152"
14,0.20421599,"((x6 - x3) - x1) * (abs(x6 - (x7 * 1.7972295)) * 0.015963152)"
15,0.20415016,"(x6 - (x3 + x1)) * ((x6 + (1.7483695 - (x7 * 1.6688919))) * 0.01579853)"
16,0.20322388,"(((x6 - x3) - x1) * (abs((x7 * 1.6688919) - x6) + 1.7483695)) * 0.01579853"
18,0.20156182,"(((x6 - x3) + ((square(x3) / x7) - x1)) * (x6 - (x7 * 1.811868))) * 0.015388726"
20,0.20056227,"(((x6 + 2.246545) - x3) - (x1 + square(x3 / 3.1379113))) * ((x6 - (x7 * 1.7742733)) * 0.01903552)"
22,0.19929923,"(x6 - (x7 * 1.7703806)) * (((x6 + ((2.9165072 - x3) - (square(x3 / 2.9621859) + x1))) / x7) * -0.26317188)"
24,0.19895977,"((x6 - (x7 * 1.7705913)) * (((2.9659674 - (x3 / 0.8976423)) + (x6 - (x1 + square(x3 / 2.9659674)))) / x7)) * -0.2620883"
25,0.19847085,"((x6 - (x7 * 1.7705913)) * (abs((2.9659674 - (x3 / 0.8976423)) - (square(x3 / 2.9659674) + x1)) + x6)) * (-0.2620883 / x7)"
