Complexity,Loss,Equation
1,0.34853756,"-2.0413513"
3,0.29881307,"30.638094 / x6"
5,0.26703343,"28.400452 / (x6 + x3)"
6,0.2649583,"-0.63674885 - exp(x3 * 0.32079494)"
7,0.24420722,"28.681583 / ((x1 + x6) + x3)"
8,0.24412155,"-28.824461 / (abs(x6 + x1) - x3)"
9,0.22931148,"(((x7 - x1) - x3) / x6) * -2.2202513"
10,0.22923951,"abs(((x7 - x1) - x3) * -2.2202513) / x6"
11,0.22573881,"((x7 - (x1 + x3)) * -2.8328733) / (x6 + -4.050866)"
13,0.22117257,"((x3 + x1) - x7) * ((11.214964 / (x6 + -20.40515)) + 0.16758515)"
14,0.21954352,"(-2.8141675 / (x6 + -5.5109067)) * (x7 - ((x1 + x3) + abs(x3)))"
16,0.21073222,"((((x7 - abs(x3 + 4.0471435)) - x1) * -7.416491) / (x6 + -18.539211)) + 1.9092219"
17,0.21005662,"((((abs(x1) + x7) - abs(x3 + 3.8070965)) * -8.03332) / (x6 - 19.209858)) + 2.0429218"
19,0.20824528,"((abs(x1 - 0.22162235) + (x7 - abs(x3 + 3.6514564))) * (-8.071391 / (x6 + -18.886621))) + 2.0429997"
23,0.2068476,"(((x7 + (exp((x6 * 0.48304546) + 5.303601) - x1)) - abs(x3 + 3.6828504)) * (-7.972834 / (x6 + -17.905727))) + 2.1543634"
24,0.20213532,"((((x7 - abs(x3 + 4.05385)) + abs(exp((x6 * 0.48225337) + 5.8146935) - x1)) * -8.367926) / (x6 + -17.710825)) + 2.4161277"
26,0.19953161,"((abs(x1 - exp(((x6 - x7) + -0.9107194) * 0.50764155)) + (x7 - abs(x3 + 3.4313283))) * (-8.473224 / (x6 + -16.561514))) + 2.4755142"
28,0.19887413,"(abs(exp(((x6 - x7) + -2.7813163) * 0.55374) - (x1 / 4.0414987)) + ((x7 - abs(x3 + 3.3992174)) * (-8.555181 / (x6 + -16.460657)))) + 2.5299459"
