Complexity,Loss,Equation
1,0.78731686,"-2.4292696"
3,0.6338654,"35.822933 / x6"
5,0.57175094,"32.951187 / (x6 + x3)"
6,0.56217873,"square(x1 + 6.0382156) / x6"
7,0.52980524,"33.21111 / (x3 + (x6 + x1))"
8,0.5186822,"square(x1 + 5.782553) / (x3 + x6)"
9,0.5041107,"(x1 / -2.2231505) + (33.475494 / (x6 + x3))"
10,0.49893188,"abs((x1 / 0.11771635) + 33.520058) / (x6 + x3)"
11,0.4914887,"41.506897 / (x6 + ((x1 + (x3 - 1.9486681)) * 2.9609432))"
13,0.47539675,"(155.09253 / (((x3 + x1) * 2.2718916) + (x6 - 16.834677))) - -2.8888223"
15,0.47012386,"(355.6966 / ((x3 + (x1 + (x6 - (x7 - x1)))) - 39.584614)) - -6.3806458"
16,0.46317673,"(618.76117 / ((x6 + abs(x3)) + (((x1 - 18.17737) * 2.3219988) + x3))) + 8.835833"
17,0.46100116,"(244.7116 / (((sqrt(x3 + abs(x3)) + (x1 - 8.945079)) * 2.8298979) + x6)) + 4.3404207"
18,0.45746914,"(681.04443 / (((x1 * 2.2680688) - 58.901646) + ((x6 + abs(x3)) + (x3 - x7)))) + 9.210499"
20,0.45738342,"(367.13174 / (((((x1 - 18.532331) * 2.4286628) + x6) + abs(x3 - -0.8902216)) + (x3 - x7))) + 5.966269"
22,0.45504916,"log(sqrt(exp(((((x3 / x7) + -0.6710856) * x3) + -9.541727) - (((x6 / (x7 + x0)) * -4.8601074) + x1))))"
24,0.4523275,"log(sqrt(exp((x3 * ((x3 / x7) + -0.64343536)) + (-9.808337 - ((-5.0581684 / (x0 + x7)) * (x6 + (x1 * 3.2238762)))))))"
25,0.45042545,"log(sqrt(exp(((x3 + abs(x3)) * -0.51208) - (((x6 * -0.063825294) * (x6 / (-7.61628 - (x7 + x0)))) + (x1 - -6.356158)))))"
26,0.44859537,"log(sqrt(exp(((x3 + abs(x3)) * -0.47183585) - (((x6 * x6) * (inv(x7) / (-6.7926927 - (x0 + x7)))) + (x1 - -6.5498133)))))"
28,0.44707176,"log(sqrt(exp(((x3 + abs(x3 + x1)) * -0.44986802) - ((x1 - -6.7222753) + (inv(x7) * ((x6 * x6) / (-7.1152654 - (x7 + x0))))))))"
29,0.44583938,"log(sqrt(exp((abs(x1 + x3) * -0.42874476) - (((x3 * 0.5605361) + (x1 - -6.440887)) + (((x6 * x6) * 0.06577584) / (x7 + (x0 - -7.555386)))))))"
30,0.44521528,"log(sqrt(exp((((x3 / 0.78991556) + abs(x1 + x3)) * -0.3930323) - ((((x6 * x6) * inv(x7)) / (-7.0069695 - (x0 + x7))) + (x1 - -6.7090135)))))"
