Complexity,Loss,Equation
1,0.78731686,"-2.4292932"
3,0.6318338,"-16.576002 / x2"
4,0.62146986,"-109.28529 / square(x2)"
5,0.56771106,"-13.368516 / (x2 - x3)"
7,0.52980524,"33.215702 / ((x1 + x3) + x6)"
9,0.49721947,"(((x1 + x6) + x3) * -0.2209946) + -5.513714"
10,0.49368712,"square(x6 + ((x1 + x3) + 34.28618)) * -0.0057924464"
11,0.48307082,"(((x3 + (x6 + x1)) + x1) * -0.2091537) + -5.365309"
12,0.46647534,"(x6 * 0.0009430951) * square((x1 + (x6 + x3)) + 27.11338)"
14,0.46042666,"(square(((x3 + x1) + x6) + 27.314575) * 0.00091774) * (x6 - x1)"
16,0.45511317,"(((x1 / 0.5792011) + ((x2 - -14.623525) + abs(x3))) + (x6 + x3)) * -0.27894908"
17,0.44974428,"((x3 + abs(x3)) + abs((x1 / 0.49475917) + ((x6 + x2) - -14.774668))) * -0.27421212"
19,0.44706908,"(x3 + (((x1 * 1.6793687) + 7.8772893) + (abs(x3) - abs(x2 + (x6 - -6.403256))))) * -0.29358563"
20,0.4409841,"((x1 + 8.038751) + (abs(exp(x1) + x3) - abs(x3 + ((x6 + x2) - -5.1133833)))) * -0.2980555"
21,0.4370851,"(((abs(x3) + 6.335755) - (((-8.316157 - ((x2 + x1) + x6)) * exp(x0)) - x1)) + x3) * -0.2801869"
22,0.43608424,"((abs(x3) + x3) + abs(((exp(x0) * (-8.28208 - (x6 + (x2 + x1)))) - x1) - 6.368183)) * -0.28106862"
23,0.4337488,"(((abs(x3) + x3) - ((exp(x0) * (-6.479657 - (x6 + ((x2 + x1) / 0.8220708)))) - x1)) + 6.201629) * -0.30009335"
24,0.4312302,"((abs(x3) + (x3 + (x0 + 7.742503))) - (((x1 * -3.070781) + abs((x2 + x6) - -6.450545)) * exp(x0))) * -0.29390013"
25,0.43012866,"(((x3 + (abs(x3) + 7.6303205)) - (((x1 * -3.5313554) + abs(-6.776398 - (x2 + x6))) * exp(x0))) - abs(x0)) * -0.2969458"
26,0.42638913,"(abs(x3) + (((x0 + x3) - (exp(x0 / 1.5924127) * ((x1 * -2.498024) + abs((x6 + x2) - -6.1446433)))) + 7.9695706)) * -0.29712108"
27,0.4221409,"(((abs(x3) - (exp(x0 / 1.6943313) * (abs(x6 + (x2 - -6.557282)) + (x1 * -3.146166)))) + (x3 - abs(x0))) + 7.8883834) * -0.29719892"
29,0.420384,"(((7.644494 - abs(x0)) + ((x3 + abs(x3)) * 0.77431977)) - ((abs(x2 + (x6 - -6.602755)) + (x1 * -2.7908292)) * exp(x0 / 1.9960499))) * -0.32772177"
30,0.41981432,"((7.644494 - abs(x0)) + (((x3 + abs(x3)) * 0.77431977) - ((abs(x2 + (x6 - -6.602755)) + (x1 * -2.7908292)) * exp(x0 / log(x2))))) * -0.32772177"
