Complexity,Loss,Equation
1,0.78731686,"-2.429154"
3,0.6318338,"-16.575098 / x2"
4,0.62146986,"-109.287125 / square(x2)"
5,0.5677054,"-13.335375 / (x2 - x3)"
7,0.5345035,"-13.335375 / (x2 - (x3 + x1))"
9,0.4972224,"((x1 + (x6 + x3)) * -0.22034322) + -5.50439"
11,0.483144,"(((x6 + (x1 * 1.9631659)) + x3) * -0.20953792) + -5.376405"
12,0.46275806,"-3.709469 - (exp((x3 + x1) * 0.3329523) + (x6 * 0.18377796))"
14,0.46140054,"-3.8545928 - ((x6 * 0.19017309) + exp((x1 + (x3 / 1.29904)) / 2.5233915))"
15,0.45897558,"-3.885374 - (exp(((x1 + x3) - square(x0)) * 0.3032802) + (0.1860133 * x6))"
16,0.44224748,"square((x6 * 0.4815838) + x2) - (((x2 - 14.975358) - x3) / (x1 + -3.3520174))"
18,0.4393361,"(square(x2 + (x6 * 0.48751384)) * 0.74250954) - (((x2 - 15.104838) - x3) / (x1 + -3.4357455))"
20,0.43169677,"square((x6 * 0.47938496) + x2) - (((x2 - 14.370524) - sqrt(exp(x3 + 0.6558687))) / (x1 + -3.6847115))"
21,0.41959307,"square(((x6 * 0.49093512) + x2) * 0.8299158) - ((((x2 - 14.933783) - x3) - abs(x3)) / (x1 + -3.7541475))"
22,0.41957662,"square(((x6 * 0.49093512) + x2) * inv(1.2042326)) - ((((x2 - 14.933783) - x3) - abs(x3)) / (x1 + -3.7541475))"
23,0.41847336,"(square((x6 * 0.4932776) + x2) * 0.5968348) - ((((x2 - 14.551603) - x3) - abs(x3 + 0.5697074)) / (x1 + -3.8596191))"
24,0.41812968,"(square((x6 * 0.4932776) + x2) * inv(1.62996)) - ((((x2 - 14.551603) - x3) - abs(x3 + 0.5697074)) / (x1 + -3.8596191))"
26,0.41705224,"square(((x6 * 0.49093512) + x2) * 0.8299158) - (((((-14.809229 - (inv(0.6534427) - x2)) - x3) - abs(x3)) / (x1 + -3.7541475)) - 0.40004587)"
