Complexity,Loss,Equation
1,0.78731686,"-2.4291706"
3,0.6318344,"-16.581032 / x2"
4,0.6214699,"-109.30777 / square(x2)"
5,0.57176936,"33.00752 / (x6 + x3)"
7,0.5298111,"33.179928 / ((x3 + x6) + x1)"
9,0.4973785,"((x3 + (x1 + x6)) * -0.21654311) + -5.444691"
11,0.48340824,"-5.450353 + (-0.21547642 * (x6 + ((x3 + x1) + x1)))"
13,0.4682327,"(146.26244 / (x3 + ((x6 + (96.209076 / x6)) + x1))) + 4.743468"
15,0.45821425,"(37.258465 / (((((117.09772 / x6) + x3) + 12.5032015) + x6) + x1)) + 1.6251967"
16,0.4517187,"(140.69374 / (x1 + (x6 + ((121.29687 / x6) + abs(x3 + 3.8235965))))) + 5.279899"
18,0.4450405,"(143.18369 / (((x6 + abs((x2 * 0.5155199) + x3)) + x1) + (97.976395 / x6))) + 6.0161347"
20,0.4449014,"(143.19658 / (((97.96189 / x6) + x6) + (x1 + abs(((x2 * 0.5120386) + x3) + 0.09214629)))) + 6.0557237"
22,0.4445355,"6.0054665 + (143.1818 / ((((97.96412 / x6) + (x1 * 0.17329457)) + x1) + (abs(x3 + (x2 * 0.5109915)) + x6)))"
23,0.44450936,"(143.17921 / (((97.96272 / x6) + (x1 * (exp(x6) + 1.0494177))) + (abs(x3 + (x2 * 0.5275653)) + x6))) + 6.0646386"
26,0.44355217,"6.0054665 + (143.1818 / (((97.96412 / (x6 + square((x1 - x0) * exp(-1.0985315)))) + x1) + (abs(x3 + (x2 * 0.5109915)) + x6)))"
27,0.4420845,"(148.91179 / ((x6 + abs(sqrt(log(x2) * x2) + x3)) + ((107.26856 / x6) + (x1 / log(log(8.34373 + square(x1))))))) + 6.082352"
28,0.44133112,"(143.19202 / ((abs(x3 + (x2 * 0.5625619)) + (97.926125 / x6)) + (x6 + (x1 + ((x1 + -0.16540854) * 0.8589679))))) + (6.090884 - (x1 * -0.32253963))"
30,0.44111398,"(143.18332 / (((abs(x3 + (x2 * 0.55236936)) + (97.94423 / x6)) + x6) + (x1 + (((x1 * 0.27250874) + x1) * 0.66253257)))) + (6.1297584 - (x1 * -0.3241964))"
