Complexity,Loss,Equation
1,0.78731686,"-2.4292402"
3,0.6318338,"-16.575455 / x2"
4,0.6214716,"-109.353325 / square(x2)"
5,0.5717511,"32.944603 / (x6 + x3)"
7,0.52981496,"33.170616 / ((x1 + x6) + x3)"
9,0.50466657,"(x1 * -0.41718355) + (33.254234 / (x6 + x3))"
10,0.48768282,"43.807716 / (x6 - square(2.8475657 - (x3 + x1)))"
12,0.48675624,"39.639595 / ((x6 - -1.3821163) - square(x3 + (x1 - 2.7615569)))"
13,0.4772399,"(83.87506 / (x6 - (((4.0805616 - x3) - x1) / 0.3834559))) - -1.2888077"
15,0.47422642,"(83.85297 / (x6 - (((4.355565 - x3) - (x1 * 1.4407307)) / 0.49962935))) - -1.5089673"
16,0.47422546,"(83.85297 / (x6 - (((4.355565 - x3) - (x1 * sqrt(2.0746267))) / 0.49962935))) - -1.5089673"
17,0.47251412,"(140.82385 / (x6 - ((((8.448211 - x3) - (x1 * 1.7001687)) / 3.1407065) * 5.0951276))) - -2.830782"
21,0.4684375,"((exp(x3) - (0.93263257 - square((x2 + (x6 * 0.20220064)) + (x1 * 0.52961737)))) * -0.13887429) + (x2 - 6.875649)"
23,0.4602594,"(x2 + (((x3 + abs(x3)) - (0.06889929 - square((x2 + (x1 * 0.47200763)) + (x6 * 0.24130663)))) * -0.19675048)) - 6.768031"
25,0.4519355,"x2 + ((((x3 * 2.1816044) - ((square(x3) * -0.30140644) - square(x2 + ((x6 * 0.2272136) + (x1 * 0.4801944))))) * -0.17465477) - 6.6747656)"
27,0.4517918,"x2 + ((((x3 * 2.2499537) - (((square(x3) + -0.23045062) * -0.31479296) - square((x1 * 0.4930817) + ((x6 * 0.22057429) + x2)))) * -0.16504796) - 6.716334)"
29,0.45175093,"x2 + ((((x3 * 2.1970196) - ((square(x3) * (inv(square(x2)) + -0.31479296)) - square((x6 * 0.22057429) + ((x1 * 0.4930817) + x2)))) * -0.16504796) - 6.716334)"
30,0.4516656,"((((x3 * 2.1970196) - (((square(x3) * -0.31479296) + (inv(x6) * x0)) - square(((x6 * 0.22057429) + x2) + (x1 * 0.4930817)))) * -0.16504796) + x2) - 6.716334"
