Complexity,Loss,Equation
1,0.78731686,"-2.4292734"
3,0.6319755,"-16.495625 / x2"
5,0.605387,"(-26.03527 / x2) + 1.428345"
6,0.5677803,"inv((x3 - x2) / 13.398258)"
7,0.56664926,"(39.052757 / (x3 + x6)) + 0.48170927"
8,0.5599585,"(-31.634108 / (x2 + abs(x1))) - -2.0255497"
9,0.5519807,"(((x1 - x2) * -0.4741006) - 2.7734005) + -2.9527984"
13,0.55067194,"inv((x1 - x2) / abs(((-4.1200686 * x3) - x2) - 4.356914))"
14,0.54203594,"inv((x1 - x2) / abs(((-4.1200686 * x3) - x2) - exp(1.5412043)))"
17,0.5148281,"inv((x1 - x2) / abs((13.607372 - (x3 * -3.3496854)) - ((x1 - x2) * -0.15743114)))"
21,0.48987892,"((sqrt(x2) * (2.143213 * ((inv(x3 + x6) + 0.06499378) / (0.8448966 / x2)))) + -2.2026587) - (x1 * 0.47306177)"
22,0.4869372,"(((inv(x6 + x3) + 0.064484276) / (0.64401656 / (x2 * 3.7724261))) + (-1.2857475 - ((x1 + -1.4814283) / -1.7823706))) - x1"
24,0.48455852,"(((2.143213 * (inv(x3 + x6) + 0.06499378)) * (sqrt(x2) / (0.8448966 / x2))) + (-2.2026587 - inv(x6))) - (x1 * 0.47306177)"
26,0.48441282,"(((((2.143213 * (inv(x3 + x6) + 0.06499378)) * sqrt(x2)) / (0.8448966 / x2)) + -2.2026587) - inv(x6 + 2.5615025)) - (x1 * 0.47306177)"
28,0.48423535,"((sqrt(x2) * ((inv(x6 + x3) + 0.06499378) * 2.143213)) / (0.8448966 / x2)) + ((-2.2026587 - (inv(x6 + 2.5945477) + (x1 / -1.7240694))) - x1)"
30,0.48423025,"(((((sqrt(x2) * (inv(x3 + x6) + 0.06499378)) * 2.143213) / (0.8448966 / x2)) + -2.2026587) - (inv(x6 + 2.5615025) + ((-0.03304525 + x1) / -1.7240694))) - x1"
