Complexity,Loss,Equation
1,0.78731686,"-2.4293816"
3,0.6318338,"-16.575489 / x2"
4,0.6214701,"-109.27228 / square(x2)"
5,0.56774473,"-13.386143 / (x2 - x3)"
7,0.52980524,"33.214443 / (x3 + (x6 + x1))"
9,0.50430894,"(33.656395 / (x3 + x6)) + (x1 * -0.45699233)"
10,0.48165017,"abs((x3 + 3.9114459) / x6) * (-7.1464977 - x1)"
12,0.47734156,"abs((x3 + 3.6343431) / (x6 + x1)) * (-7.5786657 - x1)"
14,0.47567004,"-0.07666818 - abs(((x1 * 1.8254042) + 7.2980647) * ((x3 + 3.6756163) / x6))"
15,0.4750232,"inv(x6) - abs(((x1 * 1.8185184) + 7.2980647) * ((x3 + 3.6756163) / x6))"
16,0.47228804,"-0.33952975 - abs((((x3 + 5.11186) / x6) + 0.10600153) * ((x1 * -1.8561653) - 6.66706))"
17,0.46387714,"-0.2430219 - abs((((x3 + 6.4167457) / x6) + 0.19908223) * (log(x2) * (3.7159493 + x1)))"
18,0.4618301,"-0.5068261 - abs(((abs(x3 + 6.0969386) / x6) + 0.21098447) * ((x1 + 3.6579342) * log(x2)))"
20,0.46128026,"-0.40355173 - abs((((x1 + 4.101248) * log(x2)) - 0.8514198) * ((abs(x3 + 6.4793425) / x6) + 0.21966848))"
22,0.46069333,"-0.36423644 - abs((((abs(x3 + 5.922911) / x6) + 0.18567595) * (0.7386529 - ((x1 + 4.3720903) * log(x2)))) - 0.11505701)"
23,0.46045694,"-0.28174308 - abs((((13.655439 / x6) + log(x2 * 3.5610495)) * (((x3 + 6.150669) / x6) + 0.22677445)) * (x1 + 3.6867454))"
24,0.4541,"-0.28174308 - abs(((13.655439 / x6) + log(x2 * 3.5610495)) * ((x1 + 3.6867454) * ((abs(x3 + 6.150669) / x6) + 0.22677445)))"
26,0.45390344,"-0.3630459 - abs(((x1 + 3.8311105) * (log(x2 * 3.9409626) + (13.519475 / x6))) * ((abs((x3 + 7.2458987) * 0.81719136) / x6) + 0.22796912))"
