Complexity,Loss,Equation
1,0.78731686,"-2.4292426"
3,0.63386536,"35.82494 / x6"
5,0.5717514,"32.959183 / (x6 + x3)"
6,0.5536006,"exp(x6 / x7) + -5.5951767"
7,0.5209861,"(x6 - -25.462948) / (x1 + -4.298339)"
8,0.50752026,"exp((x6 + x1) / x7) + -5.6387825"
9,0.4642323,"(x6 - -27.979193) / (x1 + (x3 + -6.5339637))"
11,0.46074882,"((x6 - x7) + 15.164784) / (x3 + (x1 + -6.6542287))"
12,0.45975417,"(x6 + (28.694784 - abs(x0))) / (x1 + (x3 + -6.661687))"
13,0.45510927,"abs(abs(x6 - x7) + -13.990263) / ((x1 + -6.083896) + x3)"
14,0.45328104,"((x3 + x6) - (x7 + (-11.574866 - abs(x3)))) / (x1 + -4.9188557)"
15,0.447142,"abs(abs(x6 - -12.578596) + x7) / ((x1 + (x3 * 0.63152134)) + -5.1046767)"
17,0.44551113,"abs(x7 + abs(x0 + (x7 - x6))) / ((x3 * 0.7037772) + (x1 + -5.330588))"
18,0.44216362,"abs(x7 + abs(x7 + (exp(x0) - x6))) / (((x3 * 0.5960154) + -4.9029784) + x1)"
19,0.43900082,"abs(x7 + abs(x6 - x7)) / ((x3 * 0.53995687) + ((x1 + -3.4854228) - (x6 / -8.75851)))"
20,0.4359969,"abs(abs((x0 + (abs(x0) + x7)) - x6) + x7) / ((x1 + (x3 * 0.59082216)) + -5.074999)"
21,0.43532726,"abs(abs(sqrt(x0 + abs(x0)) + (x7 - x6)) + x7) / ((-5.074999 + x1) + (0.59082216 * x3))"
22,0.4345887,"(abs(x7 + abs((abs(x0) + x0) + (x7 - x6))) + -0.8313379) / (((0.5228077 * x3) + -4.674541) + x1)"
23,0.432015,"abs(x7 + abs((((x6 * -0.9357747) + x7) - x1) + x0)) / (x1 + ((x3 * 0.4951807) - (x6 / -2.723451)))"
25,0.4283823,"abs(x7 + abs((x0 + (x7 - x1)) + (x6 * -0.9470656))) / (((x1 + (x3 * 0.5531054)) - (x6 / -3.5736825)) + -1.2736496)"
27,0.4280024,"abs(x7 + abs(((x7 - x1) + (x6 * -0.9613355)) + (x0 * 1.3397689))) / ((x1 + ((x3 * 0.5525922) - (x6 / -4.110666))) + -1.7573347)"
29,0.4275326,"abs(x7 + abs((x0 + x0) + (((x7 - x1) - x1) + (x6 * -0.9699473)))) / (x1 + (((x3 * 0.50618625) - (x6 / -4.1762476)) + -1.6749668))"
