Complexity,Loss,Equation
1,0.78731686,"-2.4292736"
3,0.75148433,"x7 - -10.644012"
5,0.6057112,"(x6 * -0.22015248) + -5.713565"
7,0.5337456,"(x7 - (x6 * 0.24040824)) - -7.0572944"
9,0.49721926,"((x3 + (x1 + x6)) * -0.22117382) + -5.514683"
11,0.48153096,"((x1 + (x6 + (x7 * -1.9615481))) + x3) * -0.2078358"
13,0.4701866,"(x7 - (x6 + (x3 - x7))) * ((x1 * 0.028150413) + 0.20008263)"
15,0.4692852,"((x1 * 0.03121947) + 0.22040017) * (x7 - (x6 + ((x3 - x7) * 0.91692543)))"
17,0.45911673,"(x7 + ((((x3 + x1) * -0.18520366) * (x3 + 8.549269)) - (x6 - x7))) * 0.18483819"
19,0.4565456,"((x7 - (x6 - x7)) * ((x1 * 0.030689243) + 0.18399952)) + (x3 * (-0.039579213 * (x3 + 7.3351007)))"
21,0.4524482,"(x7 - ((x6 - x7) * (x6 * -0.055563107))) * ((((x3 + x1) * 0.0024395399) * (x3 + 10.140671)) + 0.18305372)"
23,0.4509961,"(x7 + ((x6 - x7) * (x6 * 0.054966904))) * ((x1 * 0.032843873) + ((((x3 + 7.6583776) * x3) * 0.0028607708) + 0.18507154))"
25,0.44936693,"(((x1 * 0.033250023) + ((x3 * 0.0033756434) * (x3 + 6.8938227))) + 0.18306105) * (x7 + (((x6 - x0) * (x6 - x7)) * 0.05537769))"
27,0.44774404,"(x7 + ((x6 * 0.054569196) * (((x6 + x1) - x0) - x7))) * (((((x3 + 7.564298) * x3) * 0.0033950873) + 0.17885026) + (x1 * 0.031520773))"
29,0.44643807,"((((x7 - (x6 + (x1 - x0))) * (x6 - x0)) * -0.05482191) + x7) * ((x3 * ((x3 + 7.615756) * 0.0033328969)) + ((x1 * 0.032788634) + 0.17973329))"
