Complexity,Loss,Equation
1,0.78731686,"-2.4291592"
3,0.63183385,"-16.574844 / x2"
5,0.5676989,"13.34629 / (x3 - x2)"
7,0.5213138,"(-25.100729 - x6) / (4.145552 - x1)"
9,0.46426487,"(-28.09647 - x6) / (6.5789294 - (x3 + x1))"
11,0.46269095,"(-28.399366 - x6) / (6.7119474 - (x3 + (x1 * 1.2322735)))"
13,0.4619201,"((-28.464546 - x6) / (5.810931 - (x1 + (x3 * 0.6361526)))) - -0.21811865"
15,0.45040044,"(x2 / (x1 + (x3 + -4.973858))) - ((x6 + 17.194033) / (3.4334238 - x0))"
17,0.44760227,"((x2 * 1.2923425) / (x1 + (x3 + -5.4622855))) - ((x6 - -16.288074) / (3.3625238 - x0))"
19,0.44665068,"(((x2 * 1.6157756) / (x1 + (x3 + -5.9333973))) - ((x6 - -16.423607) / (3.285939 - x0))) + 0.31690416"
21,0.44631702,"(((x2 * 1.2923425) / ((x1 + -5.4622855) + x3)) - ((x6 - -16.288074) / (3.363905 - x0))) - (x1 * 0.053427387)"
22,0.44075328,"(x2 / ((x3 + -5.0693197) + x1)) - ((x6 + 17.432598) / ((3.0663717 - x1) + pow10(x2 + (x6 * 0.5078857))))"
24,0.4399832,"(x2 / (x3 + (-5.0693197 + x1))) - (((-0.07471223 + x6) + 17.432598) / (pow10(x2 + (x6 * 0.5078857)) + (3.0663717 - x1)))"
26,0.4397997,"(x2 / (x3 + (x1 + -5.031515))) - ((17.277578 + x6) / ((pow10(((x2 / 0.5954213) + (x6 + 1.7791218)) * 0.6352717) + 3.1281807) - x1))"
28,0.43979883,"((x2 / ((x3 + x1) + -5.031515)) - ((17.277578 + x6) / (pow10(((x2 / 0.5954213) + (x6 + 1.7791218)) * 0.6352717) + (3.1281807 - x1)))) / 1.0000983"
30,0.43950018,"(x2 / ((x1 + x3) + -5.031515)) - ((x6 + 17.255665) / (pow10((((x2 + 0.44881827) / 0.5954213) + (x6 + (0.5644499 - x0))) * 0.5639523) + (3.1281807 - x1)))"
