Complexity,Loss,Equation
1,0.78731686,"-2.4292717"
3,0.6318338,"-16.575912 / x2"
5,0.56773734,"-13.383085 / (x2 - x3)"
7,0.5346074,"-13.301511 / ((x2 - x3) - x1)"
9,0.49723282,"(((x6 + x1) + x3) * -0.21984138) - 5.494595"
11,0.4830701,"(x1 * -0.42521158) + (((x3 + x6) * -0.20727889) - 5.3412623)"
12,0.47600552,"((x6 * -0.13966945) + -4.126557) / pow10((x3 + x1) / x6)"
14,0.46338862,"((x6 * -0.49353522) + -11.7746725) / pow10((x1 + (x3 + -4.819037)) / x6)"
16,0.45715407,"((-0.34252402 * x6) + -8.28372) / (pow10((x1 + -2.7411869) / x6) + (x3 / -4.644426))"
18,0.45651487,"((-0.34252402 * x6) + -8.28372) / (pow10(((x1 / 0.8753649) + -2.7411869) / x6) + (x3 / -4.644426))"
20,0.45640096,"(((x1 + x6) * -0.39199263) + -9.8800535) / ((x3 / -3.9781587) + (pow10((x1 + -2.31171) / x6) - -0.48506922))"
22,0.45452535,"(-9.783597 + ((x1 + x6) * -0.40098676)) / (pow10((x1 + -2.6683788) / (x1 + x6)) + ((x3 / -4.0037317) - -0.30790165))"
24,0.45448077,"((((x6 + x1) * -0.40098676) + -9.783597) / (((x3 / -3.9425545) - -0.32953632) + pow10((x1 + -2.6683788) / (x6 + x1)))) + -0.023708658"
26,0.4534798,"(-9.721052 + ((x6 + x1) * -0.3949748)) / ((pow10((x1 + -2.722469) / (x1 + x6)) + (x3 / ((x0 * -0.4559203) + -3.9834993))) - -0.30975783)"
28,0.45330107,"(-9.721052 + ((x6 + x1) * -0.3949748)) / (pow10((x1 + -2.722469) / ((x1 / 1.1682565) + x6)) + ((x3 / ((x0 * -0.4559203) + -3.9834993)) - -0.30975783))"
