Complexity,Loss,Equation
1,0.78731686,"-2.4292476"
3,0.6318338,"-16.576963 / x2"
5,0.5677084,"-13.366365 / (x2 - x3)"
7,0.5214035,"(-25.874638 - x6) / (4.4629607 - x1)"
9,0.4646377,"(-27.822582 - x6) / ((6.5152617 - x3) - x1)"
11,0.46360123,"(-27.822582 - x6) / ((6.5152617 - x3) - (x1 * 1.0909783))"
13,0.4603532,"(((x1 + x6) * -1.2491524) - 34.263287) / ((7.5651813 - x3) - x1)"
15,0.46029168,"(((x1 + x6) * -1.2491524) - 34.263287) / ((7.5651813 - x3) - (x1 / 1.0719886))"
17,0.4555868,"(((x6 * 0.051594764) - -1.2495906) * -23.79317) / ((x2 * -0.5076032) + ((9.26811 - x3) - x1))"
19,0.45219654,"(((x6 * 0.049710356) - -1.1722273) * (-27.562208 - x0)) / (((10.062441 - x3) - (x2 * 0.60353017)) - x1)"
21,0.45127854,"((x6 * 0.051560476) - -1.2338934) * (((-27.56816 - x1) - x0) / (((10.094915 - x3) - (x2 * 0.55336463)) - x1))"
22,0.4498919,"((x6 * 0.03294124) - -0.78185946) * (-34.736053 / ((((((pow10(x3) / 193.47765) - x2) * 0.49776712) - x1) + 8.588846) - x3))"
24,0.44815803,"((x6 * 0.05143736) - -1.2105271) * ((-23.796421 - x0) / (((((pow10(x3) / 164.34825) - x2) * 0.53412884) - x1) + (8.975186 - x3)))"
26,0.44763023,"(((x6 * 0.05564707) - -1.3010063) / ((((((pow10(x3) / (x6 * x6)) - x2) * 0.51831734) - x1) - x3) + 8.954697)) * (-22.857952 - x0)"
28,0.44754544,"(((x6 * 0.05143736) - -1.2105271) / (((((pow10(x3) / ((x1 + x6) * x6)) - x2) * 0.53412884) - x1) + (8.977562 - x3))) * (-23.796421 - x0)"
30,0.44494358,"((((x6 * 0.051638555) - -1.2039101) * -23.796078) - (x0 * (x1 - x0))) / ((((((pow10(x3) / (x6 * x6)) - x2) * 0.5580163) - x1) - x3) + 9.00516)"
