Complexity,Loss,Equation
1,0.4646377,"x0"
3,0.46421498,"x0 / 0.9917465"
5,0.46417528,"(x0 + 0.027523069) / 0.98091006"
6,0.46354944,"pow10(-5.247764 - x0) + x0"
7,0.46314773,"x0 * (1.1121985 - (-1.4558537 / x1))"
8,0.46167117,"x0 + pow10((x1 * 0.38937) + 3.3882995)"
9,0.45571586,"((-29.162264 - (207.64948 / x1)) * x0) / x1"
10,0.4507188,"pow10(x0 * ((-2.3257377 - x0) * 0.24884665)) - 3.380136"
11,0.45033106,"pow10((pow10(-3.0202603 - x0) + -0.15770282) * -1.8288362) - 3.1434946"
12,0.45018792,"pow10(((x0 - 0.21689916) * (-2.3790307 - x0)) * 0.21229091) - 3.445127"
13,0.44953907,"pow10((-2.412898 - x0) * ((x0 - pow10(x0)) * 0.23289321)) - 3.4803638"
14,0.4495358,"pow10(((-2.3933973 - x0) * x0) * 0.22593974) - (4.4645696 - pow10(pow10(x0)))"
15,0.44933334,"pow10((x0 - pow10(x0 + 0.12945741)) * (0.22887813 * (-2.412898 - x0))) - 3.4803638"
16,0.44837022,"pow10(0.34355104 - ((x0 * x0) * ((x0 / (2.8737576 / x0)) * 0.036619596))) - 3.2949154"
18,0.44836837,"pow10((0.34139937 - (((x0 * x0) / (2.8735733 / x0)) * (x0 * 0.03630288))) * 1.0056914) - 3.2955878"
19,0.44835204,"pow10(0.34139937 - ((x0 * 0.03630288) * (pow10(x0) + ((x0 / (2.8735733 / x0)) * x0)))) - 3.2977061"
20,0.44795907,"(pow10(0.38299626 - ((((x0 * x0) / (2.9876008 / x0)) * x0) * 0.03617425)) + (x0 / x1)) - 3.5770977"
22,0.44794783,"(pow10(0.38393882 - (((0.03589184 / (2.9773793 / x0)) * x0) * (x0 * x0))) + (x0 / (x1 - -0.29630518))) - 3.5852897"
23,0.44783834,"(pow10(x0) + (x0 / x1)) + (pow10(0.36978918 - ((x0 * (0.03530903 * (x0 * x0))) / (2.983758 / x0))) - 3.5695105)"
25,0.4477859,"(pow10(0.3727128 - (((x0 * 0.03663142) * ((x0 + 0.083332025) * x0)) / (2.9819384 / x0))) + (pow10(x0) - 3.577387)) + (x0 / x1)"
27,0.4477708,"pow10(0.3727128 - (x0 * (((x0 + (-1.1897881 / x1)) * (x0 * 0.03663142)) / (2.9819384 / x0)))) + (((x0 / x1) + pow10(x0)) - 3.577387)"
29,0.44775873,"(pow10(x0) + (pow10(0.3727128 - (x0 * (((-2.0155177 / x1) + x0) * ((x0 * 0.03663142) / (2.9819384 / x0))))) - 3.577387)) + ((x0 + 0.1939108) / x1)"
30,0.4477502,"(pow10(x0) + ((x0 + pow10(-0.61470026)) / x1)) + (pow10(0.3727128 - ((x0 * ((-2.0155177 / x1) + x0)) * ((0.03663142 * x0) / (2.9819384 / x0)))) - 3.577387)"
