Complexity,Loss,Equation
1,0.7846833,"-2.4300904"
3,0.6134749,"x5 + 1.2173686"
5,0.56333333,"x7 + (14.293904 + x5)"
7,0.55214226,"((-102.83806 / x7) - 6.641061) + x5"
9,0.52671605,"(x1 / -2.4566762) + ((x6 / x7) + x5)"
11,0.49922723,"((x7 / 0.922932) - (x6 - x7)) / (5.150793 - x1)"
12,0.49792653,"((x7 - pow10(0.077889256)) - (x6 - x7)) / (5.150793 - x1)"
13,0.49238524,"(((x7 - (x6 + x1)) + (x7 - x3)) / x2) + -0.5923719"
15,0.47823828,"((x7 / 0.6685299) - (((x6 * 1.1348438) + x3) - x7)) / (6.7628527 - x1)"
17,0.46863335,"((x7 / 0.6685299) - ((x6 * 1.1348438) + (x3 - x7))) / (6.7628527 - (x1 - x9))"
19,0.46449935,"(((x7 / (3.2956817 / ((-3.148378 / x7) * (x6 + x3)))) + -24.27374) + x11) / (4.4915953 - x1)"
21,0.46235985,"(-46.73706 + ((x7 - x11) / (3.0384223 / ((x6 * -4.9129705) / x7)))) / (11.047666 - (x1 - (x3 * -1.4780843)))"
23,0.45046774,"((x7 / (3.0384223 / (((x6 + x1) * -4.9129705) / x7))) + -46.73706) / (11.047666 - (x1 - ((x3 * -1.4780843) + x11)))"
25,0.44860938,"(((x7 - x11) / (3.0384223 / ((x6 + x1) * (-4.9129705 / x7)))) + -46.73706) / (11.047666 - (x1 - ((x3 * -1.4780843) + x11)))"
27,0.44817796,"(((x7 - x11) / (2.7256408 / (((x6 * -5.0651774) / x7) + 0.39979878))) + -46.96742) / (x9 + (10.026772 - ((x1 - (x3 * -1.356264)) - x11)))"
29,0.4476329,"(((x7 - x11) / (2.7256408 / (((x6 / x7) * -5.0651774) + 0.39979878))) + -46.96742) / (((x9 + 10.026772) - ((x1 - (x3 * -1.356264)) - x11)) * 1.0029751)"
