Complexity,Loss,Equation
1,0.76900226,"-2.4202082"
3,0.6030063,"36.3805 / x6"
5,0.53546655,"33.655693 / (x3 + x6)"
7,0.49478024,"(x7 + (x6 * -0.26825583)) - -6.5942993"
8,0.48317525,"x7 / (pow10(x6 * -0.04816703) - x0)"
9,0.45944995,"(52.224022 / (x1 + (x6 + x3))) + 1.3559911"
10,0.44737607,"x7 / (pow10(-0.052984238 * (x3 + x6)) - x1)"
11,0.44238842,"x6 * ((-4.8891354 / ((x6 + x3) + x1)) + -0.18811044)"
12,0.4386529,"x7 / ((pow10((x6 + x3) * -0.049383387) - x1) - -0.5230822)"
13,0.43860304,"((0.36872876 / ((x6 + x3) + x1)) + 0.014026376) * (x7 * x6)"
14,0.43762428,"x7 / ((pow10(x6 * -0.04659761) - (x1 + -1.2978908)) - (x3 / 1.3323505))"
15,0.43723643,"(((-4.568295 / (x3 + (x1 + x6))) + -0.19904798) * (x6 - x1)) - 0.5195696"
16,0.43301818,"x7 / ((pow10(x6 * -0.047186304) - -1.1858996) - (((x6 * -0.052314185) * x3) + x1))"
17,0.4222214,"x7 / ((pow10(x6 * -0.052512586) - x1) - (x3 / (pow10(x6 - x7) + 1.2825357)))"
19,0.42027774,"x7 / (((pow10(x6 * -0.052416008) - x1) + 0.1370518) - (x3 / (pow10(x6 - x7) + 1.1961282)))"
21,0.4171444,"x7 / ((pow10(x6 * -0.0492322) - (-0.79155684 + x1)) - (x3 / ((0.46596783 / pow10(x7 - x6)) + 1.1395625)))"
22,0.41697234,"x7 / ((pow10(x6 * -0.049302053) - (x1 + -0.8618688)) - (x3 / ((0.3415631 / pow10(x7 - x6)) + pow10(0.03512923))))"
23,0.41680798,"x7 / ((pow10(x6 * -0.0492322) - (x1 + -0.8451316)) - (x3 / ((1.1548913 / pow10((x7 - x6) + 0.5518619)) + 1.1395625)))"
24,0.41677558,"x7 / ((pow10(x6 * -0.049302053) - (x1 + -0.8618688)) - (x3 / pow10((0.12150088 / pow10((x7 - x6) * 0.7116724)) + 0.03512923)))"
25,0.41525963,"x7 / ((pow10(x6 * -0.0492322) - (x1 + -0.8451316)) - (x3 / ((1.3806014 / pow10((x3 * 0.36602053) + (x7 - x6))) + 1.1395625)))"
27,0.4148808,"x7 / ((pow10(x6 * -0.0492322) - ((x1 * 1.2404574) + -0.8451316)) - (x3 / ((1.1395625 / pow10((x7 - x6) - (x1 + -0.6562353))) + 1.1395625)))"
29,0.4144343,"(x7 / ((pow10(x6 * -0.0492322) - (x1 + -0.86186886)) - (x3 / ((1.229208 / pow10((x3 * 0.36602053) + (x7 - x6))) + 1.117861)))) - (x1 * 0.050778266)"
