Complexity,Loss,Equation
1,0.78731686,"-2.429277"
3,0.6338654,"35.823025 / x6"
5,0.5717644,"32.901413 / (x6 + x3)"
7,0.52981985,"33.263573 / ((x3 + x6) + x1)"
9,0.4973041,"((x6 + (x3 + x1)) * -0.22137041) - 5.527351"
11,0.48580137,"((2.7669437 / x7) * ((x3 + x6) + x1)) + -5.3889823"
12,0.4628758,"-3.747909 - (pow10((x3 + x1) * 0.14534795) - (x6 * -0.18655567))"
14,0.45724583,"-3.8789315 - (pow10((x1 + x3) * 0.1303392) - ((x6 * 2.497297) / x7))"
15,0.45617738,"-3.8388107 - (pow10((x3 + x1) * 0.12883098) - pow10(x6 * (0.38759583 / x7)))"
16,0.45572904,"-3.9264584 - (pow10((x3 + x1) * 0.12532608) - ((x1 + (x6 * 2.5250666)) / x7))"
17,0.45543522,"-3.8388107 - (pow10(((x1 / 0.7984615) + x3) * 0.12883098) - pow10((x6 * 0.38759583) / x7))"
18,0.45383418,"-3.7812903 - (pow10((x1 + x3) * 0.13712876) - (2.4518726 * ((x1 + x6) / (x7 + x0))))"
19,0.45139843,"-3.7053738 - (pow10((x1 + x3) * 0.13473365) - pow10((x6 + x1) * (0.37946832 / (x7 + x0))))"
21,0.4491224,"(-3.7350852 - (pow10((x3 + x1) * 0.13041921) - pow10((x6 * 0.37851483) / (x7 + x0)))) + (x1 * -0.23783642)"
23,0.448873,"((-3.7053738 - (pow10((x1 + x3) * 0.13473365) - pow10((x6 * 0.37946832) / (x0 + x7)))) + (x1 * -0.21786922)) + -0.031060595"
24,0.4476806,"(x0 * -0.3098944) + (-3.7147615 - (pow10((x3 + x1) * 0.13367589) - ((x6 + x1) * (2.3668272 / ((x0 * 2.5337596) + x7)))))"
25,0.4426225,"((x0 * -0.34861246) + -3.8388107) - (pow10((x1 + x3) * 0.12883098) - pow10((x6 * 0.38759583) / ((x7 - x1) + (x0 * 2.7413554))))"
27,0.442557,"(-3.7774215 - (pow10((x1 + x3) * 0.12883098) - (pow10((x6 * 0.38759583) / ((x7 - x1) + (x0 * 2.6641753))) + -0.063212246))) + (x0 * -0.34861246)"
