Complexity,Loss,Equation
1,0.7704829,"-2.441363"
3,0.6123579,"-16.662102 / x2"
5,0.56107867,"13.342205 / (x3 - x2)"
7,0.52937514,"(x1 + 13.384181) / (x3 - x2)"
8,0.52395505,"pow10(x6 * 0.027598169) * (-5.1138577 - x3)"
9,0.48559874,"(((x1 + x6) + x3) * -0.23447369) - 5.692718"
10,0.46712947,"(-5.6137447 - (x3 + x1)) * pow10(x6 * 0.029543787)"
11,0.45807934,"((x6 + ((x3 + x1) * 2.1108172)) * -0.1897851) - 4.83963"
13,0.45798582,"((-0.1897851 * (x6 + ((x3 + x1) * 2.1108172))) - 4.83963) - 0.0105984425"
15,0.45577267,"(((-26.54576 - x3) * 26.033363) / ((46.98234 - x6) + (x1 * -2.5254502))) + 9.182279"
17,0.45542634,"((((-26.54106 - x3) * 26.033363) + x0) / ((x1 * -2.5284123) + (46.98234 - x6))) + 9.182279"
19,0.45365036,"x1 + ((((22.181873 - (x1 / -0.36508474)) * (-18.425028 - (x1 + x3))) / (33.603195 - x6)) + 6.5029917)"
21,0.45148593,"(x0 + ((22.377544 - (x0 / -0.40781155)) * (((-17.907063 - x3) + (x1 * -1.2351828)) / (33.46043 - x6)))) + 6.3682485"
24,0.45073548,"((x1 + pow10(x0 + -1.4366186)) + ((22.223368 - (x1 / -0.34094173)) * ((-17.714256 - (x1 + x3)) / (33.616585 - x6)))) + 6.1265063"
26,0.44889536,"pow10((x0 + -0.99802077) - x1) + ((((-17.879143 - (x3 + x1)) * (22.351229 - (x1 / -0.367957))) / (33.47277 - x6)) + (x1 + 6.2261405))"
30,0.4483812,"(pow10((x0 + -0.8781609) - x1) + ((-21.560978 - (x1 + x3)) * ((25.485296 - (((x1 + (x3 / 0.62108403)) * x0) * -0.13016635)) / (41.052414 - x6)))) + 7.746833"
