Complexity,Loss,Equation
1,0.7704829,"-2.4413927"
3,0.614782,"36.008896 / x6"
5,0.56584674,"32.953457 / (x3 + x6)"
7,0.51044637,"(-25.575443 - x6) / (4.331561 - x1)"
9,0.4657129,"(-24.805561 - (x3 + x6)) / (4.4730277 - x1)"
11,0.4529606,"(-25.025337 - (x3 + (x3 + x6))) / (5.0277724 - x1)"
13,0.45180178,"((-27.647495 - (x3 + (x6 + x3))) / (5.169727 - x1)) - -0.44079393"
14,0.44994166,"(10.690733 - (x6 * -2.560306)) / pow10(((x1 + x6) + x3) / x7)"
16,0.44282013,"(-13.290854 - ((x6 * -7.5147533) / x7)) / pow10(((x3 + x1) + -5.2779913) / x6)"
18,0.44043678,"(-11.475909 - ((x6 * -6.5289593) / x7)) / pow10((x3 * -0.062648565) + ((x1 + -4.1410327) / x6))"
20,0.4397099,"(-11.504082 - ((x6 * -6.565842) / x7)) / pow10((-4.108326 / x6) + ((x1 * -0.0821581) + (x3 * -0.059967965)))"
22,0.435864,"((x0 + -12.585984) - ((-7.2286696 / x7) * x6)) / pow10((-4.842018 / x6) + ((x3 + (x1 + x0)) / x7))"
24,0.42935404,"(((x6 * (x0 - -7.609978)) / x7) + x7) / pow10(((x7 + 8.136555) / x6) + (((x1 + x0) + x3) / x7))"
26,0.42639714,"(x7 + ((x0 - -7.625933) * (x6 / x7))) / pow10(((((x1 * 1.333358) + x3) + x0) / x7) + ((x7 + 8.149103) / x6))"
28,0.4246955,"(x7 + ((x0 - -7.625933) * (x6 / x7))) / pow10(((x3 + (x0 + (x1 * 1.333358))) / (x7 + x1)) + ((x7 + 8.149103) / x6))"
30,0.42446363,"(x7 + ((x0 - -7.625933) * (x6 / x7))) / pow10((((x1 * 1.333358) + (x3 + x0)) / ((x1 - 0.25267753) + x7)) + ((x7 + 8.149103) / x6))"
