Complexity,Loss,Equation
1,0.7704829,"-2.441326"
3,0.614782,"36.006847 / x6"
5,0.5658452,"32.966267 / (x6 + x3)"
7,0.5252859,"33.208775 / ((x6 + x1) + x3)"
9,0.48559946,"-5.690926 - ((x1 + (x6 + x3)) * 0.23448613)"
11,0.4578948,"((x6 * -0.18702345) + -4.7948303) - ((x3 + x1) * 0.41378346)"
13,0.4555691,"2.1161344 - (((x3 + x1) - x7) * ((x6 * 0.014293921) + 0.5349931))"
15,0.45208418,"((x3 + x1) - x7) * (-0.36751124 - ((x3 + (x6 + x1)) * 0.014133694))"
17,0.45015165,"(-0.3645891 - ((x3 + (x1 + x6)) * 0.013911489)) * (x3 + ((x1 / 0.6511258) - x7))"
18,0.44855806,"(pow10(x6 * 0.09542166) - ((((x6 + x3) + x1) * 0.023701392) + 0.55655015)) * (x1 - x7)"
20,0.44643426,"(pow10(x6 * 0.12363631) + (-0.42991957 - ((x3 + (x1 + x6)) * 0.017480511))) * ((x1 + x3) - x7)"
22,0.4449807,"((x3 + x1) - x7) * ((-0.40865853 - ((x6 + (x1 + x3)) * 0.016575692)) + pow10((x6 * 0.21806687) + 0.9396676))"
24,0.44407853,"((pow10((x6 * 0.21677311) + 0.9365789) + -0.40758103) - (((x3 + x6) + x1) * 0.016495692)) * (((x1 / 0.6913337) + x3) - x7)"
26,0.44321603,"((pow10((x6 * 0.22853738) + 1.0691919) - (((x1 + (x6 + x3)) * 0.0171778) + 0.3717949)) * ((x1 + x3) + (x1 - x7))) + -0.63457125"
28,0.4413495,"((x1 + ((x3 - x7) * 0.54819053)) * (pow10((x6 * 0.21682727) + 1.2438598) - (((((x1 + x6) + x3) * -0.42589363) / x7) + 0.6373041))) + -1.0952201"
30,0.44114667,"(((((x3 + x1) + x1) - x7) * 0.54819053) * (pow10((x6 * 0.21682727) + 1.2438598) - (((x3 + (x1 + x6)) * (-0.42589363 / x7)) + 0.6373041))) + -1.0952201"
