Complexity,Loss,Equation
1,0.7704829,"-2.4415095"
3,0.614782,"36.006645 / x6"
5,0.5658452,"32.971657 / (x3 + x6)"
7,0.5252861,"33.207565 / (x6 + (x1 + x3))"
9,0.48559868,"(((x1 + x6) + x3) * -0.23417926) + -5.68717"
11,0.4579009,"((x6 * -0.1879353) + ((x3 + x1) * -0.41203737)) - 4.8070493"
13,0.4544537,"(x6 * (2.6127598 / x7)) + (((x3 + x1) * -0.3512772) + -5.0516987)"
14,0.45338923,"(((x3 + x1) * -0.3544696) + -4.8164377) + pow10(x6 * (0.3828805 / x7))"
15,0.44760668,"((x3 + (x6 - x7)) - x7) / (x1 + ((x7 + x3) / 2.3550594))"
17,0.4475316,"(x6 + ((x3 - x7) - x7)) / (x1 + ((x7 + (x3 + -0.9800883)) / 2.5499074))"
19,0.4455332,"(((x3 + x6) - x7) - -10.86434) / (((x3 + x7) / (3.8393588 - (-14.035019 / x6))) + x1)"
21,0.4406125,"(((x6 - 3.0802286) - x7) - x7) * (1.8005431 / ((x1 + (x7 / (2.7298844 - (x7 / x6)))) + x3))"
23,0.4387391,"((((x6 - 3.5102155) - x7) - x7) * 2.3359544) / (x3 + ((x7 / (2.4480276 - ((x1 + x7) / x6))) + x1))"
25,0.4378797,"((((x6 - 3.0513546) - x7) - x7) * 2.0278578) / (((x7 + (x1 * 2.3950686)) / (2.6594837 - (x7 / x6))) + (x3 - 0.47434258))"
27,0.43787965,"(2.0278578 / (((x7 + (x1 * 2.3950686)) / (2.6594837 - (x7 / x6))) + (x3 - 0.47434258))) * (((x6 - 3.0513546) - x7) - (x7 + 0.00027259998))"
28,0.43460536,"(((((x6 - 2.8222015) - x7) - x7) * 1.9883205) / (x3 + (((x1 * 2.6944003) + x7) / (2.5749464 - (x7 / x6))))) - (pow10(x0) * -0.05702983)"
30,0.4341339,"(((((x6 - 2.8737206) - x7) - x7) * 1.9760967) / (x3 + (((x1 * 2.6521182) + x7) / (2.5315378 - (x7 / (x6 * 1.0702468)))))) - (pow10(x0) * -0.050279606)"
