Complexity,Loss,Equation
1,0.7704829,"-2.4412992"
3,0.61235785,"-16.661827 / x2"
5,0.56115484,"13.387454 / (x3 - x2)"
7,0.510454,"(-25.61006 - x6) / (4.343342 - x1)"
9,0.4596107,"(-27.782356 - x6) / ((6.5329022 - x3) - x1)"
11,0.45657054,"((-25.138054 - x6) / (5.0310864 - x1)) - (x3 / 2.6201153)"
13,0.45204479,"(((-29.974945 - x6) / (5.278186 - x1)) + 0.8434355) - (x3 * 0.398815)"
17,0.4520412,"(((-29.974945 - x6) + (x1 / x6)) / (5.278186 - x1)) + (0.8434355 - (0.398815 * x3))"
18,0.43617705,"(((x6 + (pow10(x6 / (-7.9457064 - x2)) + -6.292118)) - (x3 - x2)) - x1) * 0.47935045"
20,0.43398875,"((x6 + pow10((x6 / (-7.726559 - x2)) + -0.11550983)) + -2.0514376) - (((x3 + x1) * 0.47863582) - x2)"
21,0.42080188,"(pow10(x6 / (-7.586704 - x2)) - (x3 / 2.1770291)) + ((x6 - (pow10(x1 * 0.235146) - x2)) * 1.4184375)"
23,0.42065528,"((((x6 - (pow10(x1 * 0.24817291) - x2)) * 1.487995) + pow10(x6 / (-7.345676 - x2))) - (x3 / 2.0730667)) * 0.9250847"
25,0.41950408,"(pow10(x6 / (-7.5356226 - (x2 / 0.95451343))) + (((x6 - (pow10(x1 * 0.27284116) - x2)) - (x3 / 2.6389275)) * 1.2920027)) - 0.61255753"
27,0.41928148,"((((x6 - (pow10(x1 * 0.2143434) - x2)) * 1.4739808) + pow10(x6 / (-7.373799 - x2))) - (x3 / ((x1 * -0.38321346) + 1.928196))) * 0.9388781"
28,0.41791105,"(((x2 - 2.7455344) + x6) - (((x3 - pow10(x6 / (-5.977722 - x2))) + (x6 * 0.37361923)) * 0.43420202)) + ((-0.7411836 - (x0 * 0.07727784)) * x1)"
30,0.4176264,"((x2 - 2.6499786) + (x6 - (((x3 + (x6 * 0.38557562)) - pow10(x6 / (-5.9134583 - x2))) * 0.42904446))) + ((x1 - -0.21990524) * (-0.71778065 - (x0 * 0.075677216)))"
