Complexity,Loss,Equation
1,0.77048296,"-2.4416697"
3,0.614782,"36.008293 / x6"
5,0.56584543,"32.963127 / (x6 + x3)"
7,0.52528566,"33.22042 / ((x6 + x3) + x1)"
9,0.50178576,"(33.22042 / (x6 + x3)) + (-0.37472427 * x1)"
11,0.46201044,"x6 * ((-4.6803813 / ((x3 + x6) + x1)) + -0.17544551)"
13,0.4565471,"x6 * ((-9.353132 / (((x6 + x3) + x1) + -5.6673374)) + -0.3142214)"
15,0.45111012,"(x6 - x1) * (-0.30892196 + (-9.286815 / ((x1 + (x3 + x6)) + -5.732051)))"
17,0.4456539,"(x6 + 4.6874638) * (((x7 * -0.02469599) + (-8.104417 / ((x1 + x6) + x3))) + -0.66727704)"
23,0.44533047,"((((-7.887144 / (x1 + (x3 + x6))) + -1.024019) + (x7 * -0.04680237)) * ((x6 + 5.1371865) + (x6 / x6))) + -1.0879481"
28,0.44434983,"((((17.066402 - (x6 / 2.8242233)) * 4.681337) / (x1 + (x6 + (x3 * 0.82852006)))) + 4.584806) / (pow10(((x6 + 1.4555937) / 4.9522705) + 1.835071) + 1.0161961)"
