Complexity,Loss,Equation
1,0.7704829,"-2.441316"
3,0.61235785,"-16.661827 / x2"
5,0.5659193,"33.08445 / (x6 + x3)"
7,0.5116181,"(-25.648067 - x6) / (4.302032 - x1)"
9,0.47767323,"(29.560366 / x6) + ((x1 + x3) * -0.4154235)"
11,0.45788762,"((x6 * -0.1864252) + -4.788209) - ((x1 + x3) * 0.4112846)"
12,0.45724833,"((x6 * -0.17936337) + -3.64114) - pow10((x3 + x1) * 0.14488925)"
13,0.45182276,"(((x6 * -0.4184737) + -10.69873) - x3) / ((x1 * -0.50581414) + 2.2735133)"
15,0.44351444,"(((x6 * -1.0504453) - x2) + ((-8.256731 - x3) * 1.9503363)) / (3.8732169 - x1)"
17,0.44350734,"((x6 * -0.5540011) + ((-8.133277 - x3) - (x2 * 0.5714828))) / ((x1 / -1.9367689) + 2.005871)"
19,0.43685687,"(-4.7521353 - (x1 + x3)) / ((((x6 + 13.602398) * -0.18806969) * ((x6 * -0.5239272) - x2)) + 2.1105762)"
21,0.42549926,"(-4.6968284 - x3) / ((((((x6 * -0.51576245) - x2) * (x6 + 13.556742)) * -0.19252723) + 2.1012304) + (x1 / -1.6196566))"
23,0.42083767,"(-4.626556 - x3) / ((-0.20946851 * ((x6 + 13.547194) * (((x6 + x1) * -0.5143286) - x2))) + (2.0724018 + (x1 / -1.7271068)))"
25,0.4199634,"((-4.7554836 - x3) / (((13.40243 + x6) * (-0.17124297 * (((x6 + x1) * -0.5086924) - x2))) + (1.8959749 + (-0.5086924 * x1)))) - -0.31149822"
27,0.4190898,"((-4.7554836 - x3) / (((((13.40243 + x6) * -0.17124297) * (((x6 + x1) * -0.5086924) - x2)) + 1.8959749) + ((x2 / x6) * x1))) - -0.31149822"
29,0.41907197,"((-4.7554836 - x3) / ((((x6 + 13.40243) * -0.17124297) * (((x6 + (x1 / 1.1410221)) * -0.5086924) - x2)) + ((x1 * (x2 / x6)) + 1.8959749))) - -0.31149822"
