Complexity,Loss,Equation
1,0.7704829,"-2.4413688"
3,0.614782,"36.00695 / x6"
5,0.5658452,"32.972233 / (x6 + x3)"
7,0.52528703,"33.23246 / (x1 + (x6 + x3))"
9,0.4738479,"(((x1 + x3) / 0.16377527) + 29.304754) / x6"
11,0.4566801,"((x6 * -0.03191027) + -0.87804747) * (x3 - (-4.9860544 - x1))"
13,0.45135233,"(x3 + (x1 + 5.5719557)) * (((x6 * 0.397523) / x7) + -0.8197768)"
15,0.45133033,"((((x7 * 0.0029006908) + 0.06867212) * x6) + 0.82701546) * (-5.5076404 - (x3 + x1))"
17,0.44937965,"((x3 + x1) - (x6 * 0.45061246)) * (((x7 * 0.04956144) + (x6 * -0.042264704)) + -0.30178085)"
19,0.44845834,"(((x3 - (x6 * 0.23803554)) + x1) * ((x7 * 0.08947715) + ((x6 + x1) * -0.059327498))) + -1.1461258"
21,0.4466082,"((x1 + (x3 - (x6 * 0.24288987))) * ((x7 * 0.058779243) + (((x6 + x1) * -0.057510905) + -0.3862984))) + -1.0674158"
22,0.44526067,"(((((x1 + x3) - -4.112141) * 0.030133756) * ((x7 - x0) + pow10(x0 - x1))) + (x6 * -0.19508033)) + -3.4891815"
24,0.4444581,"(((x3 + (x1 * 0.7472641)) - -4.2658653) * ((x7 + (pow10(x0 - x1) - x0)) * 0.03203311)) + ((x6 * -0.18930979) + -3.2269711)"
26,0.44353387,"(((((x3 - -3.9635084) * 0.033018615) - ((x1 / x6) * 0.37926483)) * (pow10(x0 - x1) + (x7 - x0))) + -3.318855) + (x6 * -0.19103904)"
28,0.44284275,"((x6 * -0.15540893) + -3.5793188) + (((x3 + x1) - -1.9396739) * ((x7 * 0.11211055) + (pow10(x0 + (((x6 * -0.09651784) + -2.8377314) - x1)) + 1.032247)))"
30,0.44105923,"(((((x0 * 0.0037746378) + 0.03686038) * x7) + pow10((x6 * -0.076727904) + ((x0 + -2.3664718) - x1))) * ((x3 + x1) - -1.6818322)) + ((x6 * -0.15142405) + -3.5658524)"
