Complexity,Loss,Equation
1,0.7704829,"-2.4413636"
3,0.6147821,"36.00423 / x6"
5,0.5687889,"32.249714 / (x3 + x6)"
7,0.5252867,"33.230846 / (x1 + (x3 + x6))"
9,0.48563352,"(((x6 + x1) + x3) * -0.23185998) + -5.6540294"
11,0.4579868,"((x1 + x3) * -0.41141808) - ((x6 * 0.18159461) + 4.7165923)"
13,0.45445195,"(-5.0100994 - ((x3 + x1) * 0.35585335)) + ((x6 / x7) * 2.5859952)"
15,0.45424888,"(((x6 * 2.621375) / x7) + ((x3 * -0.32780904) + (x1 * -0.3802403))) + -5.0899177"
17,0.453333,"((x6 * (2.575578 / x7)) + (-5.022146 - (x3 * 0.34276217))) - (x1 / (x6 * -0.19409934))"
18,0.45167053,"(pow10(-5.6011996 / x6) + (x6 * (4.589613 / x7))) + (((x1 + x3) * -0.28542987) + -9.7987795)"
19,0.4503745,"((-5.001846 - (x3 * 0.34724933)) + ((x6 * 2.5620322) / x7)) - (x1 / ((x6 + x1) * -0.15847905))"
22,0.44966233,"((x1 * -0.35489285) + ((x3 * -0.29096508) + -9.236683)) + (pow10(-5.1569176 / x6) + ((x6 * 4.856185) / (x7 + -1.8638078)))"
