Complexity,Loss,Equation
1,0.77048296,"-2.441218"
3,0.6147932,"36.057133 / x6"
5,0.5665406,"32.619984 / (x6 + x3)"
7,0.52528733,"33.1988 / ((x1 + x6) + x3)"
9,0.50544053,"33.416668 / ((x1 + x3) + (x6 + x0))"
11,0.47575915,"((x6 + x1) * -0.19947338) - (4.925023 - (x3 / -2.1872168))"
13,0.473979,"((x3 * -0.46916777) + -2.1960077) / ((x6 + (x1 + x1)) / x7)"
15,0.46111426,"(-3.2577546 - ((x3 + 3.2756548) / 2.0859137)) - ((x6 * 0.19441459) + (x1 * 0.39418304))"
17,0.4561145,"(((x7 - x1) * 0.34553665) + (0.12985197 / (-0.41846958 / x3))) - ((x6 + 3.3797615) * 0.20739555)"
21,0.45585066,"(((x7 - x1) * 0.39457613) + (0.26621398 / (-0.8389042 / x3))) - ((x0 * -0.064463325) + ((x6 + x6) * 0.10223269))"
25,0.45497128,"(((x3 * -0.33061296) + -2.1159434) - ((x7 - x6) / (x7 / 2.5450807))) - (((-0.675048 - x1) * -0.3485622) + ((-1.7035329 / x6) / 1.0480083))"
27,0.45155755,"(((x3 / -0.29154065) + (x6 - x7)) / ((x0 + -1.5122707) + (x7 * 0.2851595))) + (((2.3903048 / x7) + (-2.2475612 - x3)) + (x1 * -0.5298977))"
