Complexity,Loss,Equation
1,0.7704829,"-2.441508"
3,0.6123579,"-16.660673 / x2"
5,0.56107855,"13.339352 / (x3 - x2)"
7,0.5259341,"32.876934 / (x6 + (x3 + x1))"
9,0.4738522,"((x1 + (x3 + 4.750339)) / 0.16232584) / x6"
11,0.45788845,"(((x1 + x3) * -0.41126016) + -4.7839394) - (x6 * 0.18618326)"
13,0.45312926,"((x3 + x1) * -0.46761397) + (-4.231582 - ((x2 + x6) * 0.28367212))"
14,0.45053455,"((x6 * 0.16089228) + 4.4035273) * ((x3 * -0.19719277) - pow10(x1 * 0.119386375))"
16,0.44784272,"(((x3 * -0.030254256) * x2) - pow10(x1 * 0.123514704)) * ((x6 * 0.1750031) + 4.6148024)"
18,0.44607422,"(((x2 * -0.13508287) + (x3 * -0.23179033)) * pow10(x1 * 0.107468076)) * ((x6 * 0.23156284) + 5.5494456)"
20,0.44389716,"(((x2 * -0.25739235) + (x3 * -0.44348818)) - ((x6 * 0.27594844) + 4.3142834)) * pow10(x2 * (x1 * 0.015349019))"
22,0.443698,"(pow10(x1 * 0.10406901) * ((x6 * 0.23341626) + 5.6049247)) * (((x2 * -0.07935276) + -0.38632283) + ((x3 * 0.014604943) * x6))"
24,0.44343463,"(pow10(x1 * 0.110406995) * ((x6 * 0.23341626) + 5.6049247)) * (((x1 + x6) * (x3 * 0.014604943)) + ((-0.07885185 * x2) + -0.39000753))"
