Complexity,Loss,Equation
1,0.7704829,"-2.4414244"
3,0.614782,"36.008034 / x6"
5,0.5658453,"32.9657 / (x6 + x3)"
7,0.525288,"33.237312 / ((x3 + x6) + x1)"
9,0.47384426,"(((x3 + x1) * 6.101261) - -29.346601) / x6"
11,0.45791754,"(((x1 + x3) * -0.41002434) - (x6 * 0.18719314)) - 4.7952743"
13,0.457893,"((((x1 + x3) - -0.018255688) * -0.40812305) - (x6 * 0.18719314)) - 4.7952743"
15,0.45448923,"(((((x1 + x6) - x7) + x1) * -0.19505243) - 2.4358194) - (x3 * 0.3491372)"
17,0.44254157,"x7 / (((-9.94178 - x6) * (((x6 + x3) - x7) * -0.09935792)) - (x1 + -4.8638687))"
19,0.43765157,"x7 / ((((x6 + x3) - x7) * (((x6 + -3.1905837) - x7) * 0.104759306)) - (x1 + -4.8640065))"
21,0.43353575,"x7 / ((((x6 + (x3 + 3.454367)) - x7) * (((x6 + -6.4419494) - x7) * 0.096259005)) - (x1 + -7.4533176))"
23,0.43155804,"x7 / (((((x6 - x7) + -5.486788) * (-1.3525543 / x7)) * ((x6 + (2.5650735 - x7)) + x3)) - (x1 + -6.6628494))"
25,0.43149093,"x7 / ((0.21705315 - x1) + ((((x6 + (-5.7202735 - x7)) * (-1.3631363 / x7)) * (((x3 + x6) + 2.804982) - x7)) - -6.7013917))"
27,0.4310441,"x7 / ((((((x1 + -2.6466613) - x0) + x6) - x7) * ((x3 + (x6 - x7)) * 0.10415846)) + ((x3 * -0.3261056) - (x1 + -5.253407)))"
29,0.43016282,"(x7 / ((-1.8125479 - (x1 + -6.968299)) + ((((x6 + -3.2798638) + (x1 - x0)) - x7) * ((x3 + (x6 - x7)) * 0.10350539)))) + (x3 * -0.120083764)"
