Complexity,Loss,Equation
1,0.7704829,"-2.4414918"
3,0.6123579,"-16.660425 / x2"
5,0.5610989,"-13.364783 / (x2 - x3)"
7,0.5252856,"33.21719 / (x6 + (x3 + x1))"
8,0.5239503,"(-5.182828 - x3) * pow10(x6 * 0.027916078)"
9,0.47384447,"((x1 + (x3 + 4.811609)) / x6) * 6.097735"
10,0.467114,"pow10(x6 * 0.029452002) * (-5.598352 - (x3 + x1))"
11,0.45671406,"(-4.8724027 - (x3 + x1)) * (0.8927747 - (x6 * -0.032352637))"
13,0.45309126,"(((-8.888409 - x3) - x1) * 0.4727308) - ((x2 + x6) * 0.28063375)"
15,0.44864267,"((-4.581199 - x3) - x1) * (0.66037107 - (((x6 + x2) * x6) * 0.0018656076))"
17,0.44418383,"((-5.0957484 - x3) - x1) * (0.6159606 - (x6 * ((x2 + (x1 + x6)) * 0.0017885368)))"
19,0.44258082,"(((-2.8752007 - x3) - x1) * (0.75603354 - (((x1 + (x2 + x6)) * x6) * 0.0028690102))) - 0.84344494"
20,0.43694597,"((-4.465929 - x3) - x1) * (0.50000066 - (((pow10(x6 / x2) + -0.012839433) * 5.2255588) * (x6 + 13.335893)))"
22,0.43452936,"((-4.3854113 - x3) - x1) * (0.44352058 - (((pow10(x6 / x2) + -0.015360096) * 6.9507275) * ((x2 + x6) - -8.387562)))"
24,0.42331934,"((-5.6111727 - x3) - x1) * (0.37078032 - (((pow10(x6 / x2) * 6.062517) + -0.091534674) * ((x2 + x6) - (-8.1820135 - x1))))"
26,0.4186377,"((-5.3543253 - x3) - x1) * (0.38776895 - ((((x2 + x3) * pow10(x6 / x2)) + -0.10763315) * (x2 + (x6 - (-8.152361 - x1)))))"
28,0.41682157,"(0.4266226 - ((((x2 - (x3 * -1.7626185)) * pow10(x6 / x2)) + -0.11479346) * (x6 + (x2 - (-7.987407 - x1))))) * ((-4.8860164 - x3) - x1)"
