Complexity,Loss,Equation
1,0.7704829,"-2.4415095"
3,0.614782,"36.00869 / x6"
5,0.5658481,"32.947136 / (x3 + x6)"
6,0.5639153,"pow10(x7 * -0.118864134) / x6"
7,0.52528566,"33.22103 / ((x1 + x6) + x3)"
9,0.47384432,"(((x1 + x3) * 6.1034827) + 29.347063) / x6"
11,0.4579659,"(((x3 + x1) * -0.4080511) - (x6 * 0.19026698)) + -4.8429546"
13,0.45450407,"((x6 * -0.012815946) + -0.3481924) * (((x1 + x3) * 2.2878916) - x7)"
15,0.452125,"((x6 * -0.013998468) + -0.364325) * (((x1 + x3) * (x6 * -0.17045625)) - x7)"
17,0.44755965,"((x7 - ((x6 + x3) - x7)) / -0.42459977) / ((x7 + x3) + (x1 * 2.4269612))"
19,0.44753352,"(x7 - ((x6 + x3) - x7)) * (-2.413361 / (((x3 - 0.31412742) + x7) + (x1 * 2.5217888)))"
21,0.44692445,"(-2.3439164 / (x3 + (x7 + (x1 * 2.7324452)))) * (x7 - (((x6 + x3) - (x0 * 0.35768747)) - x7))"
22,0.44452757,"pow10(x0 + -1.3146578) + ((x7 - ((x3 + x6) - x7)) * (-2.4035625 / (x3 + ((x1 * 2.8507497) + x7))))"
24,0.43910158,"((x7 + (pow10((x6 - x7) * 0.20373295) - ((x6 + -1.8753511) - x7))) / (x7 + ((x3 + x1) * 1.8125159))) * -3.0436282"
26,0.43655816,"(((x7 - ((x6 + -2.0844672) - x7)) + pow10((x6 - x7) * 0.203884)) * -3.1987376) / (((x3 + (x1 * 1.4463285)) * 1.5808303) + x7)"
28,0.43651134,"(((x7 - ((x6 + -2.0844672) - x7)) + pow10((x6 - x7) * (x6 * -0.017833691))) * -3.1987376) / (((x3 + (x1 * 1.4463285)) * 1.5808303) + x7)"
29,0.43411174,"(-2.4667075 / (x3 + ((x1 / 0.39542353) + x7))) * (pow10((-1.3311294 / pow10(x6 - x7)) + 0.504304) + (x7 - (x3 + ((x6 - x7) * 1.1852814))))"
