Complexity,Loss,Equation
1,0.7704829,"-2.4413192"
3,0.614782,"36.009525 / x6"
5,0.5658454,"32.975857 / (x3 + x6)"
7,0.5252858,"33.222267 / (x1 + (x6 + x3))"
9,0.48722747,"(x7 - (x6 - x7)) / (4.5958357 - x1)"
11,0.45656684,"((x7 - (x3 - -12.023838)) - x6) / (4.6455536 - x1)"
13,0.45248592,"((x7 - ((x3 / 0.49128926) - x7)) - x6) / (5.5006742 - x1)"
15,0.45057547,"((((x7 - x3) - (x1 / 0.39669588)) - x6) / (4.374639 - x0)) + -2.624677"
16,0.4496705,"(((x7 - x3) - x6) / (4.3207273 - x0)) + (pow10(x1 / 11.217149) * -2.620393)"
17,0.4480457,"((((x7 - x3) - x3) - x6) / (4.996336 - x0)) + (-2.383343 - (x1 / 2.6921225))"
18,0.44544512,"(((((x7 - x3) - x3) - x6) / (4.985394 - x0)) - pow10(x1 / 4.739535)) + -1.360571"
20,0.44318038,"(((((x7 - x3) - x3) - x6) / ((5.0073853 - x0) - x0)) - pow10(x1 / 4.6408563)) + -1.3570783"
22,0.4417605,"(((((x7 - x3) - x3) - x6) / ((x7 / -2.634891) - (x0 + x0))) + -1.3574947) - pow10(x1 / 4.654102)"
24,0.4397841,"((((((x7 - x6) - x3) + 1.2494555) - x3) / ((-8.126777 - x7) - (x0 / 0.4103375))) + -1.606065) - pow10(x1 / 4.003092)"
26,0.43727225,"((((((x7 + 1.6343699) - x6) - x3) - x3) / ((-5.7229257 - x7) - (x0 / 0.30921003))) + (-0.81508374 - pow10(x1 * 0.17784062))) * 1.478345"
28,0.43724728,"((((((x7 + 1.6354604) - x6) - x3) - x3) / ((-5.720428 - x7) - (x0 / 0.3134734))) + (-0.7990479 - pow10((x1 * -2.2117693) / x7))) * 1.4943154"
30,0.4367033,"(((((1.6214823 - x6) + ((x7 - x3) - x3)) / ((-5.7240295 - x7) - (x0 / 0.31213483))) + -0.8164842) - pow10((x1 * -2.2182174) / (x7 - x1))) * 1.4842877"
