Complexity,Loss,Equation
1,0.77345514,"-2.4421697"
3,0.59970504,"x5 + 1.2062575"
5,0.5600028,"(x1 + x5) * 0.45511472"
7,0.5113137,"((x5 + x1) * 0.058293425) * x3"
9,0.47063634,"(x10 + 4.6898685) + ((x3 - x1) * -0.74102914)"
11,0.45513505,"(((x1 * 0.09947206) + -0.47698042) * (x3 - x10)) + 2.6559386"
12,0.44471213,"(x3 + -3.8414657) * ((x1 / (pow10(x10) + 3.7670422)) + -0.2657998)"
14,0.4436996,"(((x1 / (pow10(x10) + 3.2174895)) + -0.34074605) * 0.83678514) * (x3 + -3.8537943)"
15,0.4319671,"((x1 * ((x10 + x5) / -28.140152)) + -0.15515956) * (x3 + (x0 * 0.7268361))"
16,0.43056932,"(x1 + (3.3465426 - (x3 * 0.53123254))) / (pow10((x10 + x5) - x0) + 1.0000179)"
17,0.42010456,"((x1 * ((x10 + x5) * ((x0 + 7.8976927) / -23.709414))) + (x3 * -0.5457641)) + 3.4817924"
18,0.41551456,"(2.7993636 - (x3 * 0.4727295)) + (x1 / (pow10(x10 + ((x5 - x0) / 1.7140851)) + 0.97965425))"
19,0.40842512,"((((x3 * -0.08273085) + (x1 * ((x5 + x10) / -22.354944))) + 0.73757446) * (x0 + x3)) - 1.2365417"
21,0.40164772,"((((x3 + x0) * -0.04754069) * (x5 + (x10 / 0.46239427))) * (x1 + ((x3 + -8.961391) * -0.6118092))) + -1.331995"
23,0.40049034,"((((x10 / 0.60753536) + x5) * (x1 + ((x3 + -9.002023) * -0.6220195))) * ((x0 + (x3 - x10)) * -0.047328856)) + -1.3480226"
24,0.3985369,"((x3 + x0) * ((((x1 * (x10 + x5)) / -1.7131541) + ((x3 + -9.015279) * -1.373451)) / (pow10(x10) + 11.580821))) + -1.3934394"
26,0.39771345,"(((x3 + -0.5478443) + x0) * ((((x3 + -9.207135) * -1.3221254) + ((x10 + x5) * (x1 / -1.7846764))) / (pow10(x10) + 9.905578))) + -1.52582"
28,0.39494038,"(((x3 + x0) / (pow10(x10) + 10.017303)) * ((((x10 + x5) * x1) / -1.9904716) + (((x3 * (x3 + -8.785285)) - x0) * -0.16706553))) + -1.146087"
30,0.39360875,"(((x0 + x3) / (pow10(x10) + 9.032199)) * ((x1 * ((x10 + x5) / -2.097765)) + ((((x3 - x1) * (x3 + -8.984387)) - x0) * -0.13514164))) + -1.3186703"
