Complexity,Loss,Equation
1,0.77345514,"-2.442177"
3,0.61335814,"-16.668627 / x2"
5,0.57456815,"(x1 + -2.871425) * 0.5348924"
7,0.5258474,"(x3 * 0.086255275) * (x1 + -1.9042042)"
9,0.47062635,"(((x3 - x1) * -0.73470753) - -4.6292033) + x10"
11,0.4557329,"(((3.8951287 - x3) + x10) * (x1 + -1.6090108)) * -0.18659009"
13,0.43645677,"((((x10 * -0.007368667) + 0.012593086) * x1) + -0.017966434) * (x3 * x3)"
15,0.43277624,"x3 * ((((x1 * ((x10 * -0.008140011) + 0.013762837)) + -0.034078144) * x3) + 0.14592865)"
16,0.42889264,"pow10((((x10 + 6.8376455) - x3) * -0.158309) + (x2 * -0.054231375)) * (x1 + -2.1247315)"
17,0.4280508,"x3 * (((((x10 * -0.009361672) + 0.015729688) * x1) + -0.023377126) * (x3 + (x2 * -0.2618213)))"
19,0.42277572,"(x1 + 1.3295751) - (((x1 * ((x0 * 0.5031897) - x10)) - (x3 * (x3 / x2))) * -0.27140844)"
21,0.41714582,"((x1 + 1.9239175) - (((((x0 * 0.46699905) - x10) * (x1 + 0.615736)) - x3) * -0.33358386)) * (x3 / x2)"
25,0.4142764,"(x1 + 0.7493883) - ((((((x2 * x1) + 2.9422603) * ((x0 * 0.28849497) - x10)) - ((x3 - 4.2480435) * x3)) * -0.41145065) / x2)"
27,0.4132494,"(x1 + 0.80929476) - (((((x0 * 0.26450846) - x10) * (((x2 * x1) + 3.4807134) - x10)) - (x3 * (x3 - 4.351427))) * (-0.43588397 / x2))"
28,0.41221422,"(x1 + 0.8667849) - ((-0.42280412 / x2) * ((((x0 * 0.2927577) - x10) * ((x1 * x2) + pow10(3.9579244 / x3))) - ((x3 - 4.102699) * x3)))"
29,0.4108915,"(x1 + 0.5947501) - (((((x1 * x2) + ((x10 + -1.2470332) / -0.24067181)) * ((x0 * 0.275528) - x10)) - ((x3 - 4.813849) * x3)) * (-0.43326858 / x2))"
30,0.40663403,"(x1 + 0.911209) - ((-0.4209733 / x2) * ((((x0 * (x1 * -0.092219494)) - x10) * ((x1 * x2) + pow10(3.9622607 / x3))) - ((x3 - 4.1609273) * x3)))"
