Complexity,Loss,Equation
1,0.77345514,"-2.4422398"
3,0.61335844,"-16.664705 / x2"
5,0.57456803,"(x1 * 0.5352606) + -1.535253"
7,0.5258559,"(x3 * (x1 - 1.9118774)) * 0.08599163"
9,0.47087008,"x10 + (((x1 - x3) * 0.7152722) + 4.4484878)"
11,0.45222026,"((x10 - x3) + ((x1 + x2) * 0.7331241)) * 0.5853306"
13,0.44588113,"((x3 * (x3 * 0.011656688)) - (x10 * 0.23176432)) * (x1 + -1.673042)"
15,0.43846923,"((x3 * 0.10932918) - (x10 * 0.30514476)) * ((x1 + 3.2918797) + (x3 * -0.5545113))"
16,0.43795893,"((x2 * 0.35839447) + ((x3 * -0.6137768) + x1)) + pow10((x10 - x1) * 0.12689516)"
17,0.42841494,"((x2 * 0.4470344) + (x1 + (x3 * -0.6461073))) * ((x3 + (x0 * x10)) * 0.08163014)"
19,0.42478564,"((x2 * 0.46487686) + ((x3 * -0.66470206) + (x1 - x10))) * ((x3 * 0.082146876) - (x10 * 0.34455237))"
21,0.42341438,"((x2 * 0.38529968) + ((x1 - x10) + (x3 * -0.5614966))) * ((x10 * -0.39326417) + ((x3 * 0.11354341) - 0.19963385))"
23,0.4163284,"((x2 * 0.32997054) + ((x1 - x10) + (x3 * -0.46137813))) * ((x3 * 0.11071352) + ((x10 * -0.42260283) - (x0 * -0.042804155)))"
25,0.41334304,"(((x3 * 0.109425746) + (x10 * -0.44174194)) - (x1 * (x0 * 0.013988748))) * ((x2 * 0.31043082) + ((x3 * -0.438612) + (x1 - x10)))"
27,0.41275015,"(((x10 * -0.49372375) + (x3 * 0.11682195)) - (x1 * (x0 * 0.014986927))) * (((x2 * 0.25230452) + 0.63016737) + ((x3 * -0.44372132) + (x1 - x10)))"
29,0.41262504,"(((x2 + 0.23633114) * 0.31866175) + ((x1 - x10) + (x3 * -0.45585516))) * (((x3 * 0.10725359) + (x10 * -0.43253604)) - ((x1 * 0.018194644) * (x0 - -0.8568484)))"
30,0.41239196,"(((x3 * 0.11254944) + (x10 * -0.4669472)) - ((x1 * 0.015324904) * (x0 - -0.46597177))) * (((x2 * 0.2928241) + pow10(-0.19259018)) + ((x3 * -0.48972368) + (x1 - x10)))"
