Complexity,Loss,Equation
1,0.77345514,"-2.4422247"
3,0.59970504,"x5 + 1.2060082"
5,0.5600028,"(x1 + x5) * 0.45504072"
7,0.51131374,"(x3 * 0.05829339) * (x5 + x1)"
9,0.4706658,"(x10 + ((x3 - x1) * -0.73988545)) - -4.6723566"
11,0.45574626,"(x1 + -1.6339359) * ((x3 - (x10 + 3.87059)) * 0.18383618)"
12,0.4476999,"((x1 + -1.3721186) * 0.06571286) * pow10((x3 - x10) * 0.13705315)"
13,0.43169153,"(x5 + (x1 * (1.6249895 - x10))) * ((x3 * 0.0061694393) * x3)"
15,0.42796722,"(x5 + ((x1 * 1.6806439) - (x10 * x0))) * ((x3 * x3) * 0.006135372)"
17,0.42790914,"((x3 * 0.006130337) * x3) * (((x1 * 1.6839564) + x5) - (x10 * (x0 - -0.08600209)))"
18,0.42780566,"((x5 - (x10 * x0)) + (1.6933612 * x1)) * (0.0061009126 * (pow10(x1) + (x3 * x3)))"
19,0.4269764,"(((x3 * x3) + (x1 * x10)) * 0.0061009126) * (((x1 * 1.6933612) + x5) - (x10 * x0))"
21,0.42445582,"(((x10 * -0.7727465) - (x1 * -1.795577)) + (x5 - (x0 * x10))) * (x3 * ((x3 - x10) * 0.005896295))"
22,0.42069963,"((x3 * (x3 * 0.0038139592)) * pow10(x1 * -0.18406966)) * ((x10 + (x5 + -1.9901326)) + ((x1 * x0) * 0.21364826))"
24,0.418101,"(((x0 - x10) * (x1 * 0.2582013)) + ((x5 + x10) + -3.6852648)) * (pow10(x1 * -0.18265659) * ((x3 * 0.0029157423) * x3))"
25,0.40976447,"(((x5 - -1.772152) + (x0 * -0.22162178)) + ((1.3850346 / x1) - (x10 * -0.5449819))) * (((x1 / x5) * (x3 * 0.036830097)) * x3)"
27,0.40960273,"(((x3 * -0.038135853) * (x1 / x5)) * (0.28501916 - x3)) * (((1.3895644 / x1) - (x10 * -0.54512596)) + ((x0 * -0.20385258) + (x5 - -1.8094184)))"
29,0.40959558,"(((x3 * -0.038135853) * (x1 / x5)) * (0.00916969 - (x3 + -0.26719365))) * (((x5 - -1.8094184) + (x0 * -0.20385258)) + ((1.3895644 / x1) - (x10 * -0.54512596)))"
30,0.40958995,"(((x3 * -0.038135853) * (x1 / x5)) * (pow10(x5) - (x3 + -0.26719365))) * (((1.3818369 / x1) - (-0.54512596 * x10)) + ((x5 - -1.8094184) + (x0 * -0.20385258)))"
