Complexity,Loss,Equation
1,0.77345514,"-2.442218"
3,0.59970504,"x5 + 1.2061937"
5,0.5600028,"(x1 + x5) * 0.45509785"
7,0.50327003,"((x10 + x1) + 7.132083) - x3"
9,0.47080296,"((x3 - x1) * -0.73883843) + (x10 + 4.6548553)"
11,0.46138358,"((x1 + x10) * 0.74089915) + ((x3 * -0.59906244) + 3.5743558)"
13,0.44969058,"((x1 * 0.5910704) + 5.8065925) + (((x3 - x10) - x5) * -0.62488085)"
21,0.44775078,"(((3.471818 - x1) + (x1 * 1.74539)) + ((x3 - x10) * -0.5684045)) + (((x0 + 3.227809) * x0) * 0.073445566)"
23,0.43132284,"(((x1 * 1.1516023) + 0.2873949) + ((x3 * -0.47222733) + 2.524446)) + (((x10 / 0.5857165) - x0) * ((x1 * 0.49190903) / x5))"
25,0.42765683,"(((x10 / 0.4403669) - x0) * (x1 * (0.5269069 / x5))) + (((2.4250412 - x1) + (x1 * 2.2473836)) + ((x3 * -0.5917639) + 1.4796196))"
27,0.42164984,"(((x1 * 2.5886188) + (3.9850202 - x1)) + ((x3 * -1.5712488) / 2.6027434)) + ((x1 * (0.5319354 / x5)) * ((x10 * 1.9122031) - (x0 + -2.4486918)))"
