Complexity,Loss,Equation
1,0.863829,"-2.3410885"
3,0.7555983,"-15.804615 / x2"
5,0.73653156,"1.5880476 - (x3 / x2)"
7,0.56599087,"x3 - (29.81194 - (x0 * -0.42939013))"
9,0.5432869,"(((x0 + 6.5011973) * x1) / x2) - 1.3357843"
11,0.5403364,"(((5.7039604 / x2) - (x0 * -0.14185475)) * x1) - 1.4768559"
12,0.538581,"(((x0 + 6.571322) * x1) / (x2 + pow10(x1))) - 1.3159124"
14,0.536416,"(((x1 + 0.23773202) * (x0 + 6.381372)) / (pow10(x1) + x2)) - 1.5061494"
15,0.53591084,"((x1 - (x0 * 0.20504703)) * ((7.0891595 / x2) - (x0 * -0.18161172))) - 1.5035479"
17,0.5228943,"(((x1 * 5.757454) / x2) + -1.4322108) - ((x0 * 0.032822046) * ((x1 * x1) + 3.742748))"
19,0.52241874,"((x0 * -0.31968245) + ((x1 * 7.656074) / x2)) - (((x1 * 0.048543397) * (x1 * x1)) + 1.407882)"
20,0.52070796,"(((x1 * 6.3525214) / x2) + -0.44321564) - (((x1 * 0.036567077) * (x1 * x0)) + pow10(x0 * 0.1141164))"
22,0.52069753,"(((x1 * 1.00421) * (6.3156705 / x2)) + -0.44760454) - (((x0 * x1) * (x1 * 0.036645688)) + pow10(x0 * 0.11440188))"
23,0.5199723,"(((x0 * x2) * -0.021346623) + ((x1 * 8.086618) / (x2 + 2.3145275))) - (((x1 * 0.03138154) * (x1 * x0)) + 1.3934332)"
24,0.5190079,"(((x4 * 0.26468012) + -0.62601775) + (x1 * (6.426855 / x2))) - (((x1 * 0.037605528) * (x1 * x0)) + pow10(x0 * 0.1128317))"
25,0.5173531,"((x1 * 0.9003943) + ((x2 * -0.009282231) * (x0 * x2))) - (((x0 * -0.258432) + 1.4314727) + ((x1 * 0.032215312) * (x1 * x0)))"
29,0.515926,"(((x2 * -0.0031112726) * (x0 * x2)) + ((x1 * 8.019154) / (x2 + 2.4231803))) - (((x1 * 0.032454375) * (x1 * x0)) + ((x4 * -0.26299196) + 1.6324205))"
