Complexity,Loss,Equation
1,2.0752044,"49.237095"
3,0.53511757,"x3 / 0.5382641"
5,0.46816897,"(x3 * 1.5423281) + 8.36853"
6,0.46268705,"pow10(x3 * 0.044140823) + 34.405396"
9,0.4613741,"(x3 * 1.6525044) + ((x0 * -0.07239646) + 5.285424)"
10,0.46062055,"(7.1701703 - (x3 * -1.5863793)) - (-5.7227002e-8 / pow10(x0))"
11,0.45785138,"((x0 * -0.11088429) + (x2 * -0.210959)) - (x3 * -1.9028385)"
12,0.45724404,"(x2 * -0.20021226) + (pow10(x0 * -0.033110313) - (x3 * -1.8642652))"
13,0.45245382,"((x0 * x1) * 0.03712568) + ((x2 * -0.21616007) - (x3 * -1.906558))"
15,0.44823653,"((x2 * -0.24637878) + (x3 * 1.9147623)) + ((x0 * 0.022704354) / (x4 / x1))"
17,0.4479778,"(x2 * -0.27375662) + ((-1.2955686 - (x3 * -1.9698709)) + ((x0 * 0.025041413) / (x4 / x1)))"
19,0.44519556,"(((x2 * -0.011911813) - -1.9425689) * x3) + ((x1 / 6.5724792) + ((x0 * 0.027159622) / (x4 / x1)))"
21,0.44479695,"((x0 * 0.21617246) / (x4 / (x1 / x2))) + (((x1 / x2) + (x2 * -0.34568173)) - (x3 * -1.9472641))"
23,0.44410145,"(23.39581 - (x3 * (x3 * -0.03745151))) + (((x2 * -0.002031759) * (x2 * x2)) + ((x0 * 0.02423552) / (x4 / x1)))"
25,0.4441012,"(23.39581 - ((x3 + -0.002031759) * (x3 * -0.03745151))) + (((x2 * -0.002031759) * (x2 * x2)) + ((x0 * 0.02423552) / (x4 / x1)))"
