Complexity,Loss,Equation
1,0.86085486,"-2.339796"
3,0.7532317,"-15.799574 / x3"
5,0.59093446,"-16.710495 / (x3 - x2)"
7,0.57090306,"(x3 + -23.414518) / (x3 - x2)"
9,0.5579752,"-17.780321 / (((x1 * x1) + x3) - x2)"
10,0.55447525,"(-19.249174 / (x3 - x0)) + pow10(x1 + -1.0822656)"
11,0.53417647,"(-24.212818 / ((x3 - x2) + (x1 * x1))) + 0.88303185"
13,0.51938456,"((x2 + -28.754852) / ((x3 - x2) + (x1 * x1))) - -1.5305036"
15,0.5180634,"((-29.914267 + (1.307232 * x2)) / ((x3 - x2) + (x1 * x1))) - -1.7048705"
16,0.51001495,"((-19.29799 / (x3 - x2)) + (x1 * -0.66764474)) - (x3 * (pow10(x1) * -0.023968907))"
18,0.50008875,"((-19.12646 / (x3 - x2)) - (x1 * 0.6417596)) - (((x3 * x3) * -0.0033769796) * pow10(x1))"
20,0.4982905,"((-19.148106 / (x3 - x2)) + (x1 * -0.6525275)) - ((pow10(x1) * -0.0034292617) * (x0 + (x3 * x3)))"
21,0.49438182,"((-19.119474 / (x3 - x2)) + (x1 * -0.6107311)) - ((pow10(x1) * (x3 * -0.0026772125)) * (pow10(x0) + x3))"
23,0.49131992,"((-19.214502 / (x3 - x2)) + (x1 * -0.65671915)) - ((pow10(x1) * (x3 * -0.0017773861)) * (pow10(x0) + (x3 * 1.7322614)))"
25,0.4903822,"((x1 * -0.6039098) + ((x4 * -0.3146145) / (x3 - x2))) - (((x3 * 1.6442003) + pow10(x0)) * ((x3 * -0.0017676563) * pow10(x1)))"
27,0.48971403,"(((x1 * -6.6655726) / (x3 + 3.3529544)) + (-19.109703 / (x3 - x2))) - (((x3 * 1.6853546) + pow10(x0)) * (pow10(x1) * (x3 * -0.0017925496)))"
29,0.48958033,"(((x4 * -0.31363848) / (x3 - x2)) + ((x1 * -6.6970162) / (x3 + 3.9665844))) - ((pow10(x1) * (x3 * -0.0018730133)) * (pow10(x0) + (x3 * 1.5462509)))"
