Complexity,Loss,Equation
1,0.7723824,"-2.44206"
3,0.6130461,"-16.645638 / x3"
5,0.56144583,"13.33647 / (x4 - x3)"
7,0.530131,"x8 / ((x3 - x2) - x4)"
9,0.51285803,"(x8 - x4) / (x3 + (-0.98296833 - x2))"
11,0.4992579,"(((x8 - (x4 + x2)) * 1.6463361) / x3) + 1.0230204"
12,0.48480946,"((1.7601365 / x3) * (x8 - x4)) + pow10(x1 * 0.19872928)"
14,0.47247055,"(((x8 - (x4 + x4)) * 1.2398387) / x3) + pow10(x1 + -1.0614425)"
15,0.472124,"((((x1 + (x8 - x4)) * 2.8350356) - x2) / (x3 + 1.8911252)) - -2.0450292"
16,0.45473424,"(((x8 - (x4 + x2)) / (x3 + pow10(x1 + -0.8690141))) * 1.9219285) - -1.2626686"
18,0.44790858,"((((x8 - (x4 + x4)) - (x2 + x1)) * 1.2377931) / x3) + pow10(x1 + -0.9962899)"
20,0.44783542,"(pow10(pow10(x4) / (-2.2228975 - pow10(x1 * 2.1106617))) + (2.0171824 / (x3 / (x8 + 2.082669)))) - -0.5531462"
21,0.4401666,"(1.4165937 / ((x3 - x2) / (x8 - 0.4166411))) + pow10(pow10(x4) / (x8 - (pow10(x1) * pow10(x1))))"
22,0.44002602,"(pow10(pow10(x4) / (pow10(x1) * ((x8 * -0.5889397) - 14.996109))) + (1.3145752 / ((x3 - x2) / x8))) - 0.20938408"
23,0.43904987,"pow10(pow10(x4) / (x8 * (pow10(x1) - pow10(x1 - 0.32157677)))) + (1.3675208 / ((x3 - x2) / (x8 - 0.41909292)))"
28,0.43866307,"((1.4165937 / ((x3 - x2) / (x8 + pow10(x1 / 2.1680999)))) - 0.4166411) + pow10(pow10(x4) / ((x8 - pow10(x1)) - (pow10(x1) * 3.1877408)))"
30,0.4378629,"((1.4165937 / ((x3 - x2) / (x8 + pow10(x1 / 2.1680999)))) - 0.4166411) + pow10(pow10(x4) / ((x8 - pow10(x2 + x1)) - (pow10(x1) * 3.1877408)))"
