Complexity,Loss,Equation
1,0.7723824,"-2.4421172"
3,0.6130384,"-16.665325 / x3"
5,0.55182314,"x8 / (x3 - x4)"
7,0.52512157,"((x3 + x8) + 2.108398) * 0.5931432"
9,0.4875272,"(((x1 + x8) + x3) - x4) * 0.35561392"
11,0.467062,"-4.977661 - (((x4 - x1) + (x2 - x3)) * 0.40569508)"
12,0.46002012,"((x4 - x3) * ((pow10(x1) * -0.016727246) - 0.3889997)) + -5.053229"
14,0.44122258,"(pow10(x1) * 0.08253998) + (-5.13271 - (((x2 + x4) - x3) * 0.40458646))"
16,0.43692175,"(((x3 * pow10(x1)) * 0.012658032) + -5.0513673) - (((x2 + x4) - x3) * 0.38803166)"
18,0.43178868,"(((x3 + x2) * (pow10(x1) * 0.013613705)) + -5.1467285) - ((x4 + (x2 - x3)) * 0.4010665)"
20,0.42557812,"(pow10((x3 + x2) * (x1 * 0.19412982)) * 0.041808736) + (-4.9990773 - ((x2 + (x4 - x3)) * 0.38880014))"
22,0.42471808,"((pow10((x3 * 0.18185034) * ((x2 * 0.18202066) + x1)) * 0.0508774) + -5.0507708) - (((x4 - x3) + x2) * 0.3960038)"
24,0.42413408,"((-0.6678281 / x8) * pow10(((x1 + (x2 * 0.20154583)) * x3) * 0.18202066)) + (-5.0507708 - ((x2 + (x4 - x3)) * 0.3960038))"
25,0.4227351,"(-4.95652 - (((x4 + x2) - x3) * 0.4071554)) + ((((pow10(x1) * 0.04036947) + -0.08829305) * (x3 + -4.657221)) * pow10(x2 * 0.35889035))"
27,0.41910765,"((pow10(x2 * 0.3532235) * ((x1 + (x3 + -5.618916)) * ((pow10(x1) * 0.04696544) + -0.130188))) + -4.9235516) - (((x4 + x2) - x3) * 0.4023765)"
29,0.41811603,"((((((x1 + -3.7183585) + x3) - x4) * (pow10(x1) * 0.02981567)) + -0.2915924) * pow10(x2 * 0.31787968)) + (-4.346912 - ((x4 + (x2 - x3)) * 0.32712513))"
