Complexity,Loss,Equation
1,0.7723824,"-2.4418564"
3,0.6130384,"-16.663267 / x3"
5,0.55182314,"x8 / (x3 - x4)"
7,0.5251693,"(x3 - (-2.1545613 - x8)) * 0.60034806"
9,0.5000385,"(-14.066303 / x3) + ((x4 - x1) * -0.5487864)"
10,0.49754268,"pow10(x1 + -1.0686684) + (-15.306333 / (x3 - x4))"
11,0.47157443,"(((x1 - x4) * 3.440473) + -14.156448) / (x3 - x2)"
13,0.45865443,"(((x1 + 3.306995) * (x1 - x4)) + -14.049636) / (x3 - x2)"
14,0.44523633,"(-15.349765 / (x3 - x2)) + ((pow10(x1 + -0.7542287) - x4) * 0.4959637)"
15,0.44193536,"(-18.169083 / (x3 - x2)) + ((pow10(pow10(x1 + -1.3562853)) - x4) * 0.47936693)"
16,0.4410842,"(-19.041168 / (x3 - x2)) + (((pow10(x1 + -0.7415095) - x4) - -1.1290954) * 0.46782574)"
18,0.43929008,"(-20.328897 / (x3 - (x2 * 0.76034063))) + ((pow10(x1 + -1.0706307) - (x4 * 0.46359834)) - -0.7188334)"
20,0.43564096,"((pow10(x1 + -0.5031308) - x4) * 0.37011224) + ((-16.164793 - ((x4 * x4) * x1)) / (x3 - x2))"
22,0.4321291,"((pow10(x1 + -0.504864) - x4) * 0.3806521) + ((((x2 - (x4 * x4)) * x1) + -16.106483) / (x3 - x2))"
23,0.43123105,"((((x2 - pow10(x4 * 0.32740468)) * x1) + -16.19942) / (x3 - x2)) + ((pow10(x1 + -0.43971765) - x4) * 0.36906794)"
24,0.43076158,"((((x2 + ((x1 - x4) * x4)) * x1) + -15.511894) / (x3 - x2)) + ((x4 - pow10(x1 + -0.6614006)) * -0.45416066)"
26,0.42940181,"((((x2 + ((-0.4724311 - x4) * (x4 - x1))) * x1) + -15.520577) / (x3 - x2)) + ((pow10(x1 + -0.6464925) - x4) * 0.44217518)"
28,0.427812,"((-16.617928 - x2) / ((x3 - x2) + (((x2 - 0.37005398) + ((x1 - x4) * 0.7909468)) * x1))) + ((pow10(x1 + -0.41459727) - x4) * 0.2899872)"
29,0.42520607,"(((-16.203884 - x2) - (x1 * pow10(x4 * 0.31822243))) / (x3 - x2)) + ((pow10((x1 + -0.4467055) - ((x2 * -1.1056429) / 5.1592755)) - x4) * 0.37458968)"
30,0.424833,"(((-16.203884 - x2) - (pow10(x4 * 0.31822243) * x1)) / (x3 - x2)) + ((pow10((x1 + -0.4467055) - ((x2 * -1.1056429) / pow10(0.7916589))) - x4) * 0.37458968)"
