Complexity,Loss,Equation
1,0.7723824,"-2.4421031"
3,0.6130384,"-16.663218 / x3"
5,0.55182314,"x8 / (x3 - x4)"
7,0.52512383,"((x8 + x3) * 0.5921398) + 1.2424498"
8,0.52463025,"pow10(x3 / x8) * (-6.935721 - x4)"
9,0.5000386,"(((-25.697456 / x3) + x1) - x4) / 1.8286536"
10,0.4945662,"(x1 + (-7.4041004 - x4)) * pow10(x3 / x8)"
11,0.47329006,"(-14.321542 / (x3 - x2)) - ((x4 - x1) / 1.9854451)"
12,0.46956742,"pow10(x3 / x8) * ((x1 - x4) - (x2 + 7.4577255))"
13,0.4667093,"0.6647141 - ((18.928488 / (x3 - x2)) - ((x1 - x4) / 2.0977826))"
14,0.44523442,"(pow10(x1 + -1.0619957) - (15.29184 / (x3 - x2))) - (x4 * 0.50004286)"
16,0.43899134,"pow10(x1 + -0.8627411) - ((16.521482 / (x3 - x1)) - ((x4 + x2) * -0.36930615))"
18,0.43717515,"(pow10(-0.862684 + x1) - (16.049664 / (x3 - x1))) - (((x2 / 1.3628287) + x4) * 0.43000785)"
20,0.43604484,"(pow10(x1 + -0.8404235) - (17.834549 / (x3 - x1))) - ((x4 * 0.42003107) + ((x2 / 3.2467363) + -0.2511197))"
22,0.43319505,"((pow10(x1) * -0.5509649) / (x8 + (x3 + x2))) - ((17.961834 / (x3 - x2)) - (0.34177446 - (x4 / 2.204244)))"
24,0.42815113,"((pow10(x1) * -0.5410126) / ((x2 / 0.31402656) + (x8 + x3))) - ((20.161322 / (x3 - x2)) - (0.65440714 - (x4 / 2.2882645)))"
26,0.42666724,"((pow10(x1) * (x1 * -0.4981162)) / ((x2 / 0.2655104) + (x8 + x3))) - ((20.147049 / (x3 - x2)) - (0.7625352 - (x4 / 2.3033595)))"
