Complexity,Loss,Equation
1,0.86085486,"-2.3397403"
3,0.7532317,"-15.798195 / x3"
5,0.5909351,"-16.715225 / (x3 - x2)"
7,0.5704122,"(-22.331306 / (x3 - x2)) + x5"
9,0.5580226,"-17.727533 / ((x3 - x2) + (x1 * x1))"
11,0.53417987,"(-24.290071 / ((x3 - x2) + (x1 * x1))) + 0.8931521"
13,0.5280207,"((x2 * -0.26867062) + -6.3033113) + ((x3 + (x1 * x1)) * 0.52681464)"
15,0.52681786,"(((x3 * 0.5573349) + (x2 * -0.27890506)) + -6.500854) + (x1 * (x1 * 0.47307506))"
16,0.52675134,"pow10((x1 + x1) - 2.1538656) + (((x3 * 0.56019217) + -6.4818473) + (x2 * -0.29249144))"
17,0.5141182,"((x3 * 0.5791358) + (x2 * -0.2902074)) + (((x1 * x1) / (2.3825412 - x1)) + -6.687222)"
18,0.512819,"((x1 * 0.109464586) * (pow10(x1) + -3.2565231)) + ((x2 * -0.29189655) + ((x3 * 0.58176833) + -6.640969))"
19,0.5114493,"(((x3 + -11.128101) * 0.5664979) + (x2 * -0.28161708)) + (((x1 * x1) + -0.5547787) / (2.0048747 - x1))"
20,0.50590193,"(((x3 * 0.57557195) + (x2 * -0.29821655)) + -6.623546) + ((x1 * 0.09800691) * (pow10(x1) + (x2 - 2.160448)))"
22,0.50288457,"(((x1 * 0.0887374) / x5) * ((x2 - 1.6604155) + pow10(x1))) + ((x2 * -0.29391038) + ((x3 * 0.5848053) + -6.7110753))"
24,0.50284743,"(((x2 - 1.7574639) + pow10(x1)) * ((x1 - -0.018732505) * (0.08826318 / x5))) + (((x3 * 0.5713184) + (x2 * -0.29293552)) + -6.6205516)"
