Complexity,Loss,Equation
1,0.86085486,"-2.33933"
3,0.7532317,"-15.799509 / x3"
5,0.59093446,"-16.710434 / (x3 - x2)"
7,0.5704116,"(-22.32149 / (x3 - x2)) + x5"
8,0.56998384,"-13.699488 / (pow10(x3 * 0.11037162) - x2)"
9,0.5621102,"((38.592175 - x4) / (x3 - x2)) + x5"
10,0.5567679,"((x4 - pow10(x1)) * -0.2948288) / (x3 - x2)"
11,0.533874,"x4 / ((x3 - x2) * (-3.2445934 - (x1 * x1)))"
13,0.5244523,"((39.243916 - x4) / ((x1 * x1) + (x3 - x2))) + 0.5296744"
14,0.5183455,"((x4 + -42.223904) - (pow10(x1) * 0.7332701)) / (x1 - (x3 - x2))"
16,0.5146537,"((x4 + -42.128815) - (pow10(x1) * (x3 * 0.11293263))) / (x1 - (x3 - x2))"
18,0.5040533,"((x4 - (x1 / -0.07194259)) - ((x3 + -3.3744137) * pow10(x1))) / ((x3 - x2) * -3.1928232)"
20,0.5021542,"((x4 - (x1 / -0.073777586)) - ((x3 + -3.3574622) * pow10(x1))) / ((x3 - (x2 / x5)) * -3.174133)"
22,0.5010375,"(((x4 - x2) - (x1 / -0.073777586)) - (pow10(x1) * (x3 + -3.3574622))) / ((x3 - (x2 / x5)) * -3.174133)"
23,0.50088716,"((x4 - pow10(x2)) - ((x3 + -3.9060786) * pow10(x1))) / ((x2 + -4.6696396) * ((x3 * 0.5320297) - (x1 + -0.97754014)))"
24,0.5007292,"(((x4 - -0.37534133) - (x1 / -0.07194259)) - (pow10(x1) * (-3.3744137 + x3))) / ((-3.1923811 * (x3 - x2)) - (x1 * x2))"
25,0.49940482,"(((x4 - x2) - pow10(x2)) - ((x3 + -3.962557) * pow10(x1))) / ((x2 + -4.254964) * ((x3 * 0.6001873) - (x1 + -0.9405817)))"
27,0.49840292,"(((x4 - x2) - pow10(x2)) - ((x3 + -3.7584505) * pow10(x1))) / (((x2 / x5) + -5.107616) * ((x3 * 0.46848878) - (x1 + -1.0058506)))"
