Complexity,Loss,Equation
1,2.0752044,"49.237095"
3,1.1152965,"109.999405 - x2"
5,0.74939674,"x1 + (109.619675 - x2)"
7,0.718889,"(x1 + 120.092) - (x2 * 1.1723893)"
8,0.67594236,"pow10(x1 * 0.43536967) - (x2 - 108.34547)"
9,0.65843064,"((x0 + 9.645539) / (4.8273 / x0)) - -52.092102"
11,0.6573128,"((x0 + 9.749966) / (8.668853 / (x0 * 1.7119411))) - -51.988976"
12,0.6554065,"(12.19224 - x1) + pow10((x1 + x2) / (x2 + -21.881876))"
13,0.59756577,"pow10(x1 * 0.46338683) + pow10((x2 - -38.495743) / (x2 + -1.5603135))"
15,0.59474707,"pow10((x2 - -37.02753) / (x2 + -2.5174959)) + pow10((x1 * 0.5682708) + -0.13750124)"
17,0.555959,"pow10((x2 - -37.062176) / (x2 + -2.4935534)) + pow10((x0 * 0.056519598) + (x1 * 0.5206446))"
