Complexity,Loss,Equation
1,2.0752046,"49.236916"
3,1.1152962,"109.99975 - x2"
5,0.74939555,"(x1 - x2) + 109.61876"
7,0.699917,"(x1 + (4439.768 / x2)) + -24.218199"
8,0.67587614,"(108.35703 - x2) + pow10(x1 * 0.43376186)"
10,0.6099944,"((x1 + pow10(x0 * 0.28430393)) - x2) + 109.27529"
12,0.5065323,"(pow10(((x0 * 0.26607063) + x1) * 0.56318146) + 108.88233) - x2"
14,0.49791834,"pow10(((x0 * 0.3057987) + x1) * 0.5770713) + (102.01967 - (x2 * 0.88590133))"
16,0.4958662,"pow10(((x1 + (x0 * 0.35994622)) - -0.18933913) * 0.4913495) + (99.823204 - (x2 * 0.8512467))"
17,0.49104413,"(92.33827 - (x2 * 0.6698897)) - pow10(0.53711915 - pow10(((x1 + x0) + -0.6945148) * 0.43844366))"
18,0.47065496,"(((pow10(x1) * 0.13945632) + 93.52721) - (x2 * 0.7050375)) - pow10(0.43002456 - pow10(x0 * 0.5477883))"
20,0.4706514,"(((pow10(x1) * 0.13945632) + (93.52115 - (x2 * 0.7048796))) - pow10(0.43002456 - pow10(x0 * 0.5477883))) - 0.0055491393"
21,0.46971434,"pow10(((0.18912916 - (x0 * 0.08663996)) * x0) + 0.36151913) + (((pow10(x1) * 0.14290622) + 92.7414) - (x2 * 0.7359902))"
22,0.46744347,"(((pow10(x1) * 0.14168015) + 92.72701) - (x2 * 0.734523)) + pow10((pow10(-0.7989049 - (x0 * 0.20534228)) * x0) + 0.334467)"
23,0.46700057,"((pow10(x1) * 0.07319476) + (pow10(((x1 + x0) - -0.7959784) * (0.26378676 - (x0 * 0.074358106))) + 96.21224)) - (x2 * 0.79021364)"
24,0.46389723,"((pow10(x0 * 0.2949401) + (pow10(x1) * 0.12175723)) + pow10((x1 - (x0 * x0)) * 0.19619778)) + (92.73439 - (x2 * 0.7354754))"
26,0.46370074,"(((pow10(x0 * 0.29061383) + (pow10(x1) * 0.11364099)) + pow10(((x1 * 1.2373704) - (x0 * x0)) * 0.17952964)) + 92.68574) - (x2 * 0.734834)"
30,0.46350852,"(((pow10(x1) * 0.11301753) + (92.90478 - (x2 * 0.7379185))) + pow10((x1 - (x0 * x0)) * 0.18416542)) + pow10(((x1 * 0.296215) + (x0 + -0.14578629)) * 0.296215)"
