Complexity,Loss,Equation
1,1.971258,"49.331154"
3,1.0660055,"110.020615 - x2"
5,0.7072803,"(x1 - -109.62288) - x2"
6,0.6360627,"(exp(x1) + 108.35756) - x2"
7,0.6260027,"1884.4232 / ((x2 + -22.071388) - x1)"
8,0.56129634,"(exp(x1) - (-4785.4043 / x2)) + -31.198532"
9,0.5308387,"exp(x0) + ((exp(x1) - -108.10076) - x2)"
11,0.5066002,"exp(x0 * 0.6986663) + ((exp(x1) - -108.0166) - x2)"
12,0.49523056,"((x2 * -0.99278384) + 108.5698) + exp(x1 + (x0 / 3.3161824))"
13,0.48457706,"((exp(x1) - -108.404785) + exp(x0 * -0.278834)) - (x2 - x0)"
14,0.4530913,"exp((x1 * 1.314263) + (x0 / 2.479435)) + ((x2 * -0.9331206) + 104.88327)"
15,0.45307022,"(exp(x0 / 2.5149293) * exp(x1 * 1.3132584)) + ((x2 * -0.9337272) + 104.907715)"
16,0.45298254,"exp((x1 * 1.306384) + (x0 / 2.5669672)) + (((x2 + -0.9466903) * -0.94840634) + 104.89813)"
18,0.45267007,"(((x2 * -0.9631307) + 106.6262) + (x0 * -0.0236717)) + exp((x0 / 2.4691718) + (x1 * 1.3504605))"
19,0.44890127,"(exp(x1 + -0.32846636) + ((x2 * -1.0720689) + 112.69407)) + ((x2 - 56.97605) * (exp(x0) / 1.5122449))"
20,0.4418164,"((x2 - 56.82491) * (exp(x0) / 1.3629732)) + (((x2 * -0.94231766) + 104.82527) + (-1.0789653 / (x1 + -1.5529522)))"
22,0.43983442,"((exp(x0) + -0.12690452) * ((x2 - 56.94141) / 1.3949735)) + (((x2 * -0.9354382) + 104.69792) + (-1.1716884 / (x1 + -1.5593032)))"
