Complexity,Loss,Equation
1,1.971258,"49.33116"
3,1.0660055,"110.02051 - x2"
5,0.7072803,"(x1 + 109.622856) - x2"
6,0.6360627,"(exp(x1) + 108.35761) - x2"
7,0.63402975,"128.07108 - ((x2 - x1) * 1.3059802)"
8,0.56309146,"(exp(x1) + (x2 * -1.3138052)) + 127.40236"
9,0.5308388,"exp(x1) + ((exp(x0) + 108.10075) - x2)"
10,0.49519792,"(109.00449 - x2) + exp(x1 + (x0 * 0.29851103))"
12,0.45431617,"exp((x1 * 1.2973721) + (x0 * 0.36287922)) + (108.8884 - x2)"
14,0.4529994,"exp((x1 * 1.3139153) + (x0 * 0.39145604)) + ((x2 - 111.66074) * -0.9462754)"
16,0.4524335,"exp((x1 * 1.3273591) + (x0 * 0.36940426)) + (((x0 * -0.027548613) + 108.81763) - x2)"
17,0.44927153,"exp((x1 * 1.3202771) + (x0 * 0.35031077)) + ((108.82217 - x2) + (0.0003294173 / exp(x0)))"
20,0.44410124,"((x0 * (x1 - -1.9941919)) * (0.3623248 - (x0 * -0.038486212))) + ((exp(x1) - (x2 * 0.891608)) + 102.91116)"
22,0.4369974,"((exp(x1) - (x2 * 0.88369)) + 101.752075) + ((0.4881524 - (x0 * -0.05546721)) * ((x0 + 0.83900887) * (x1 - -1.1881372)))"
28,0.4356908,"((0.44569156 - (x0 * -0.052380048)) * ((x0 + 0.7247802) * (x1 - -1.2926697))) + (((x0 * -0.9693696) + (x0 + 101.40276)) + (exp(x1) - (x2 * 0.8757647)))"
