Complexity,Loss,Equation
1,1.971258,"49.331375"
3,1.0660055,"110.02042 - x2"
5,0.7072802,"(x1 + 109.622955) - x2"
6,0.6360627,"(exp(x1) - x2) + 108.35763"
7,0.63403046,"((x1 - x2) * 1.3046126) - -127.98895"
8,0.5612948,"((4783.2915 / x2) + exp(x1)) - 31.163624"
9,0.5308387,"((exp(x1) - x2) + exp(x0)) + 108.1009"
10,0.49519613,"(109.00227 - x2) + exp(x1 + (x0 * 0.2968641))"
12,0.45432764,"(108.893166 - x2) + exp((x1 / 0.76895183) + (x0 * 0.36752224))"
14,0.4530342,"exp((x0 * 0.3834429) + (x1 / 0.76459706)) + ((111.258385 - x2) * 0.9536403)"
16,0.4524404,"exp((x1 / 0.7508793) + (x0 * 0.3682284)) + ((108.80761 - x2) + (x0 * -0.030324593))"
17,0.4473235,"((exp(x1) + (x0 + -1.8775872)) / exp(x0 * -0.17768176)) + (103.38783 - (0.8684411 * x2))"
19,0.44730335,"((exp(x1) + (x0 + -1.8265612)) / exp(x0 * -0.17883886)) + ((x2 - (x2 * 1.8689704)) + 103.37723)"
20,0.43962562,"(((x0 * 1.5605078) + exp(x1)) / exp(x0 * -0.25930324)) + ((98.95679 - (x2 * 0.80539775)) - exp(x0))"
22,0.4394191,"(((x0 * 1.4023628) + exp(x1)) / exp(x0 * -0.25751013)) + ((98.95517 - (x2 * 0.8086302)) - exp(x0 + -0.14370383))"
