Complexity,Loss,Equation
1,1.971258,"49.331196"
3,1.0660055,"110.02069 - x2"
5,0.7072803,"(x1 + 109.62331) - x2"
6,0.6360626,"exp(x1) + (108.3578 - x2)"
7,0.6340326,"((x2 - x1) * -1.3059533) - -128.0678"
8,0.56309146,"((x2 * -1.3139596) + exp(x1)) - -127.41144"
9,0.53083885,"(exp(x0) + exp(x1)) - (x2 - 108.10064)"
10,0.49519613,"exp(x1 + (x0 * 0.2967698)) + (109.00209 - x2)"
12,0.45429853,"(108.89546 - x2) + exp((x1 * 1.2948124) + (x0 * 0.36425292))"
14,0.45307264,"((110.965065 - x2) * 0.95942813) + exp((x1 * 1.300433) + (x0 * 0.3870062))"
16,0.4503585,"exp((x1 + 0.40812424) + (x0 * 0.33572838)) + (((x0 * -0.08458982) + 108.3845) - x2)"
18,0.44802442,"exp((x1 + 0.36869276) + (x0 * 0.3105444)) + ((x0 * (x0 * 0.011308482)) + (108.48224 - x2))"
20,0.44611052,"(((-4.6629157 - x0) * (x0 * -0.02504643)) + (108.62657 - x2)) + exp((x1 + 0.32068166) + (x0 * 0.27332303))"
