Complexity,Loss,Equation
1,1.971258,"49.33127"
3,1.0660055,"110.0207 - x2"
5,0.7072802,"(x1 + 109.623024) - x2"
6,0.6360627,"(exp(x1) + 108.35785) - x2"
7,0.6340298,"((x1 - x2) * 1.3052119) + 128.02449"
8,0.5630914,"(exp(x1) + (x2 * -1.3139325)) - -127.4101"
9,0.5308388,"exp(x0) + ((exp(x1) - x2) - -108.10083)"
10,0.49519658,"(109.00024 - x2) + exp(x1 + (x0 / 3.3783896))"
12,0.45430025,"(108.89542 - x2) + exp((x1 * 1.2936351) + (x0 / 2.7513983))"
15,0.45361865,"((log(x2) + 104.7965) - x2) + exp((x0 / 2.6887689) + (x1 * 1.2996756))"
16,0.45050344,"((108.36801 - x2) + (x0 * -0.08503572)) + exp((x1 + 0.40476084) + (x0 / 3.0659552))"
18,0.44794998,"((108.48892 - x2) + (x0 * (x0 * 0.0112824915))) + exp((x0 / 3.206559) + (x1 + 0.37151307))"
20,0.44695017,"(((x0 * x0) * (x0 * -0.0015375862)) + (108.52458 - x2)) + exp((x0 / 3.3366482) + (x1 + 0.35027796))"
