Complexity,Loss,Equation
1,0.8446584,"-2.337419"
3,0.72705245,"-16.014833 / x1"
5,0.5782407,"16.89895 / (x0 - x1)"
7,0.5382128,"-113.357506 / (x1 * (x1 - x0))"
9,0.5357613,"(-8.4379835 / (x1 + -3.361519)) - (x0 * 0.27884668)"
11,0.5284627,"(1.5783094 / (exp(x0) + 0.69783616)) - exp(8.360453 / x1)"
13,0.5235223,"(0.81884295 / (exp(x0) + 0.41938752)) - exp((10.547087 / x1) + -0.43301046)"
14,0.5222283,"((-0.17302355 - exp(x0)) / ((x1 / -17.23005) / (x0 - 1.4132437))) + 1.5930672"
16,0.51752156,"(-0.11914371 - exp(x0)) / ((x1 / -21.177116) / ((x0 - 1.4231541) / (x1 * 0.28777796)))"
17,0.51741767,"((-0.1543185 - exp(x0)) / ((x1 / -13.715886) / (x0 - 1.9219478))) - (-0.8943093 - exp(x0))"
19,0.51538366,"(((-0.89287084 / x1) - exp(x0)) / ((x1 / -12.76201) / (x0 - 1.9422953))) - (-0.5468979 - exp(x0))"
21,0.51537037,"(((-0.89287084 / x1) - exp(x0)) / ((x1 / -12.76201) / (x0 - 1.9422953))) - (-0.5430558 - (exp(x0) * 1.007075))"
22,0.51537,"(((-0.89287084 / x1) - exp(x0)) / ((x1 / -12.76201) / (x0 - 1.9422953))) - ((log(0.58342) - exp(x0)) * 1.007075)"
23,0.5152461,"(((-1.3494885 / x1) - exp(x0)) / ((x1 / -11.013852) / (x0 - 2.027703))) - ((x0 / x1) - (exp(x0) - -0.37451473))"
25,0.5152403,"(((-0.73935586 / x1) - exp(x0)) / ((x1 / -11.425419) / (x0 - 1.3876681))) - ((x1 + -6.7374187) / ((x1 * -0.67647594) + exp(x0)))"
27,0.5150248,"(((-0.7060175 / x1) - exp(x0)) / ((x1 / -11.107528) / (x0 - 1.38517))) - (((x1 + -6.9683557) / (x1 / -11.272358)) / (x1 - exp(x0)))"
29,0.5148416,"(((-0.7232248 / x1) - exp(x0)) / ((x1 / -11.357486) / (x0 - 1.389013))) - (((x1 + -6.735734) / (x1 / -9.722194)) / ((x1 + -1.1412327) - exp(x0)))"
