Complexity,Loss,Equation
1,0.8446584,"-2.3372874"
3,0.72705245,"-16.014305 / x1"
5,0.5782405,"-16.897121 / (x1 - x0)"
7,0.54315,"(-110.0509 / (x1 - x0)) / x1"
9,0.5357461,"(-8.29693 / (x1 + -3.4173653)) - (x0 * 0.2792445)"
11,0.53516376,"((x0 + -8.95816) / (x1 + -3.1576548)) - (x0 * 0.58290255)"
12,0.5201406,"(((x0 + -1.4253812) * exp(x0)) - (30.89592 / x1)) + 3.4257662"
13,0.51944053,"(log(x1 + -5.312311) + -1.4571801) + ((x0 + -1.4322324) * exp(x0))"
14,0.5189011,"(((x0 + -1.4248441) * exp(x0)) + 1.7893894) - (11.902507 / (x1 + -2.6665218))"
16,0.51712376,"((exp(x0) + 0.103301704) * (-2.3221116 - (x0 * -1.6547122))) + ((-31.391401 / x1) + 4.603343)"
18,0.5159649,"((-2.365273 - (x0 * -1.6979501)) * (exp(x0) + 0.10646744)) + ((-13.950202 / (x1 + -2.2870936)) + 3.160131)"
20,0.5153396,"((-13.966076 / (x1 + -2.44213)) + 3.282736) + ((-2.365273 - (-1.6943748 * x0)) * ((x1 / x2) + exp(x0)))"
22,0.51530784,"(((x1 / x2) + exp(x0)) * (-2.3734581 - (x0 * -1.7091455))) - (((49.33259 / x1) + (x1 * 0.3111614)) - 9.455385)"
24,0.5151682,"((-2.4093766 - (x0 * -1.727122)) * (exp(x0) + (x1 / x2))) - ((x1 * 0.1542501) + ((49.3152 / x1) - (x2 * 0.1384817)))"
26,0.51504964,"(((x2 * -0.038541377) - (x0 * -1.6603334)) * (exp(x0) + (x1 / x2))) - ((x1 * 0.23624577) + ((52.242565 / x1) - (x2 * 0.15371104)))"
28,0.51503104,"(((x2 * -0.039403062) - (x0 * -1.7154775)) * ((x1 / x2) + exp(x0))) - (((x1 * 0.2059149) + (49.31989 / x1)) - ((x2 * 0.14103265) + 0.19432038))"
