Complexity,Loss,Equation
1,1.971258,"49.331043"
3,1.0660055,"110.0207 - x2"
5,0.7072803,"x1 + (109.623245 - x2)"
6,0.6360627,"exp(x1) + (108.35758 - x2)"
7,0.63402975,"((x1 + 98.063255) - x2) / 0.76567173"
8,0.5630914,"(exp(x1) + 127.43897) - (x2 * 1.3144064)"
9,0.5308387,"exp(x0) + ((exp(x1) - x2) + 108.10089)"
10,0.495196,"(109.00259 - x2) + exp(x1 + (x0 * 0.29750344))"
12,0.45430097,"exp((x1 * 1.2955791) + (x0 * 0.36561593)) - (x2 + -108.89885)"
14,0.45307437,"((x2 * -0.9347563) - -104.9683) + exp((x1 * 1.3094636) + (x0 * 0.39606118))"
16,0.45036113,"((x0 * -0.08501082) - (x2 + -108.39552)) + exp((x1 - -0.39914754) + (x0 * 0.3337485))"
18,0.44798228,"(((x0 * x0) * 0.010883347) - (x2 + -108.47866)) + exp((x1 - -0.37339887) + (x0 * 0.30648538))"
20,0.44594774,"(((x2 * -0.7662964) + (x0 + 96.72707)) - ((x1 * -0.48989755) * exp(x1))) - ((x0 * -0.10494378) * x0)"
22,0.44437385,"(((x2 * -0.79077125) + (x0 + 78.48334)) - ((x1 * -0.47896397) * exp(x1))) - (((x0 * x0) * -0.10801654) + -19.695475)"
24,0.44304544,"(((x2 * -0.783452) + (x0 + 97.74422)) - ((x1 * -0.55728495) * exp(x1))) - ((x1 * 0.16787764) + ((x0 * -0.106318526) * x0))"
25,0.44089305,"(((x0 + 98.66959) + (x2 * -0.7980757)) - ((x1 * -0.46950766) * exp(x1))) - ((exp(x0) + (-0.33918765 - x0)) * (x0 * 0.11286291))"
29,0.4395912,"(((x0 + 98.59814) + (x2 * -0.79705447)) - (exp(x1) * (x1 * -0.48123184))) - ((exp(x0) + (-0.22638811 - x0)) * ((x1 / x2) + (x0 * 0.11039075)))"
